customer_id,adviser_id,rank,weekly_hazard,median_weeks_to_placement,survival_w1,survival_w2,survival_w4,survival_w8,survival_w12,survival_w16,survival_w24
CUS-00014,ADV-0014,2,0.0475,14.3,95.3,90.7,82.3,67.8,55.8,45.9,31.1
CUS-00014,ADV-0224,3,0.0469,14.4,95.3,90.8,82.5,68.1,56.2,46.3,31.6
CUS-00015,ADV-0009,1,0.0408,16.6,95.9,92.0,84.6,71.6,60.6,51.3,36.8
CUS-00015,ADV-0011,2,0.0391,17.4,96.1,92.3,85.3,72.7,62.0,52.8,38.4
CUS-00015,ADV-0042,3,0.0397,17.1,96.0,92.2,85.0,72.3,61.5,52.3,37.8
CUS-00016,ADV-0091,1,0.0464,14.6,95.4,90.9,82.7,68.4,56.5,46.7,31.9
CUS-00016,ADV-0100,2,0.046,14.7,95.4,91.0,82.8,68.6,56.8,47.1,32.3
CUS-00016,ADV-0229,3,0.0454,14.9,95.5,91.1,83.0,68.9,57.3,47.5,32.8
CUS-00017,ADV-0060,1,0.0297,23.0,97.0,94.2,88.7,78.6,69.7,61.8,48.5
CUS-00017,ADV-0100,2,0.0291,23.5,97.1,94.3,88.9,79.0,70.2,62.4,49.3
CUS-00017,ADV-0170,3,0.0289,23.6,97.1,94.3,88.9,79.1,70.3,62.5,49.4
CUS-00018,ADV-0061,1,0.0472,14.3,95.3,90.8,82.4,67.9,56.0,46.2,31.4
CUS-00018,ADV-0043,2,0.0491,13.8,95.1,90.4,81.8,66.9,54.7,44.7,29.9
CUS-00018,ADV-0211,3,0.0484,14.0,95.2,90.6,82.0,67.2,55.1,45.2,30.4
CUS-00019,ADV-0148,1,0.0443,15.3,95.6,91.3,83.4,69.6,58.1,48.4,33.7
CUS-00019,ADV-0219,2,0.0461,14.7,95.4,91.0,82.8,68.5,56.8,47.0,32.2
CUS-00019,ADV-0174,3,0.0454,14.9,95.5,91.1,83.0,68.9,57.2,47.5,32.8
CUS-00020,ADV-0096,1,0.0126,54.8,98.7,97.5,95.1,90.4,85.9,81.7,73.8
CUS-00020,ADV-0161,2,0.0118,58.5,98.8,97.7,95.4,90.9,86.7,82.7,75.2
CUS-00020,ADV-0166,3,0.0124,55.6,98.8,97.5,95.1,90.5,86.1,81.9,74.2
CUS-00021,ADV-0197,1,0.0349,19.5,96.5,93.1,86.7,75.2,65.3,56.6,42.6
CUS-00021,ADV-0061,2,0.0347,19.6,96.5,93.2,86.8,75.4,65.5,56.9,42.9
CUS-00021,ADV-0224,3,0.0355,19.1,96.4,93.0,86.5,74.9,64.8,56.0,41.9
CUS-00022,ADV-0159,1,0.0359,18.9,96.4,92.9,86.4,74.6,64.5,55.7,41.5
CUS-00022,ADV-0104,2,0.0374,18.2,96.3,92.7,85.9,73.7,63.3,54.4,40.1
CUS-00022,ADV-0219,3,0.0367,18.6,96.3,92.8,86.1,74.2,63.9,55.0,40.8
CUS-00023,ADV-0060,1,0.0376,18.1,96.2,92.6,85.8,73.6,63.1,54.1,39.8
CUS-00023,ADV-0203,2,0.0378,18.0,96.2,92.6,85.7,73.5,63.0,54.0,39.7
CUS-00023,ADV-0229,3,0.0364,18.7,96.4,92.8,86.2,74.3,64.0,55.2,41.0
CUS-00024,ADV-0203,1,0.0335,20.4,96.7,93.4,87.3,76.2,66.5,58.0,44.2
CUS-00024,ADV-0162,2,0.0321,21.2,96.8,93.7,87.8,77.0,67.6,59.3,45.7
CUS-00024,ADV-0239,3,0.034,20.1,96.6,93.3,87.1,75.9,66.1,57.5,43.6
CUS-00025,ADV-0096,1,0.0308,22.1,96.9,93.9,88.2,77.8,68.7,60.6,47.2
CUS-00025,ADV-0095,2,0.03,22.7,97.0,94.1,88.5,78.4,69.4,61.4,48.1
CUS-00025,ADV-0183,3,0.0307,22.2,96.9,94.0,88.3,77.9,68.8,60.7,47.3
CUS-00026,ADV-0064,1,0.0513,13.2,94.9,90.0,81.0,65.6,53.2,43.1,28.3
CUS-00026,ADV-0079,2,0.0493,13.7,95.1,90.4,81.7,66.8,54.5,44.6,29.7
CUS-00026,ADV-0095,3,0.0507,13.3,94.9,90.1,81.2,66.0,53.6,43.5,28.7
CUS-00027,ADV-0060,1,0.0148,46.6,98.5,97.1,94.2,88.8,83.7,78.8,70.0
CUS-00027,ADV-0002,2,0.0149,46.3,98.5,97.0,94.2,88.7,83.5,78.7,69.8
CUS-00027,ADV-0058,3,0.0148,46.4,98.5,97.1,94.2,88.7,83.6,78.7,69.9
CUS-00028,ADV-0072,1,0.0298,22.9,97.0,94.1,88.6,78.5,69.5,61.6,48.3
CUS-00028,ADV-0146,2,0.03,22.7,97.0,94.1,88.5,78.4,69.4,61.4,48.1
CUS-00028,ADV-0246,3,0.0285,24.0,97.2,94.4,89.1,79.4,70.7,63.0,50.0
CUS-00029,ADV-0006,1,0.0362,18.8,96.4,92.9,86.3,74.5,64.3,55.5,41.3
CUS-00029,ADV-0087,2,0.0362,18.8,96.4,92.9,86.3,74.5,64.3,55.5,41.3
CUS-00029,ADV-0205,3,0.0338,20.1,96.6,93.3,87.1,75.9,66.2,57.6,43.8
CUS-00030,ADV-0009,1,0.0162,42.5,98.4,96.8,93.7,87.8,82.2,77.0,67.6
CUS-00030,ADV-0104,2,0.0162,42.3,98.4,96.8,93.7,87.7,82.2,76.9,67.5
CUS-00030,ADV-0174,3,0.0157,43.8,98.4,96.9,93.9,88.1,82.7,77.6,68.4
CUS-00031,ADV-0100,1,0.0477,14.2,95.2,90.7,82.3,67.7,55.6,45.8,31.0
CUS-00031,ADV-0203,2,0.0488,13.9,95.1,90.5,81.9,67.0,54.9,44.9,30.1
CUS-00031,ADV-0112,3,0.0462,14.7,95.4,91.0,82.8,68.5,56.7,47.0,32.2
CUS-00032,ADV-0116,1,0.0844,7.9,91.6,83.8,70.3,49.4,34.7,24.4,12.1
CUS-00032,ADV-0088,2,0.0857,7.7,91.4,83.6,69.9,48.8,34.1,23.8,11.6
CUS-00032,ADV-0044,3,0.0855,7.8,91.4,83.6,69.9,48.9,34.2,23.9,11.7
CUS-00033,ADV-0038,1,0.016,42.8,98.4,96.8,93.7,87.9,82.4,77.2,67.8
CUS-00033,ADV-0111,2,0.0156,44.1,98.4,96.9,93.9,88.2,82.8,77.8,68.6
CUS-00033,ADV-0095,3,0.0162,42.5,98.4,96.8,93.7,87.8,82.2,77.0,67.6
CUS-00034,ADV-0053,1,0.0282,24.2,97.2,94.4,89.2,79.5,70.9,63.2,50.3
CUS-00034,ADV-0106,2,0.0289,23.6,97.1,94.3,88.9,79.1,70.3,62.5,49.5
CUS-00034,ADV-0234,3,0.0287,23.8,97.1,94.3,89.0,79.2,70.5,62.8,49.7
CUS-00035,ADV-0028,1,0.0616,10.9,93.8,88.1,77.5,60.1,46.6,36.1,21.7
CUS-00035,ADV-0092,2,0.0625,10.7,93.8,87.9,77.3,59.7,46.1,35.6,21.3
CUS-00035,ADV-0044,3,0.0632,10.6,93.7,87.8,77.0,59.3,45.7,35.2,20.9
CUS-00036,ADV-0197,1,0.049,13.8,95.1,90.4,81.8,66.9,54.7,44.8,30.0
CUS-00036,ADV-0072,2,0.0511,13.2,94.9,90.0,81.1,65.7,53.3,43.2,28.4
CUS-00036,ADV-0117,3,0.0504,13.4,95.0,90.2,81.3,66.1,53.7,43.7,28.9
CUS-00037,ADV-0030,1,0.0445,15.2,95.5,91.3,83.3,69.5,57.9,48.2,33.5
CUS-00037,ADV-0123,2,0.0449,15.1,95.5,91.2,83.2,69.2,57.6,47.9,33.2
CUS-00037,ADV-0206,3,0.0455,14.9,95.5,91.1,83.0,68.9,57.2,47.5,32.7
CUS-00038,ADV-0134,1,0.0396,17.2,96.0,92.2,85.1,72.4,61.6,52.4,37.9
CUS-00038,ADV-0023,2,0.0389,17.5,96.1,92.4,85.3,72.8,62.1,53.0,38.6
CUS-00038,ADV-0112,3,0.037,18.4,96.3,92.7,86.0,73.9,63.6,54.7,40.4
CUS-00039,ADV-0223,1,0.0235,29.1,97.6,95.3,90.9,82.7,75.1,68.3,56.5
CUS-00039,ADV-0014,2,0.0244,28.0,97.6,95.2,90.6,82.0,74.3,67.3,55.2
CUS-00039,ADV-0066,3,0.0236,29.1,97.6,95.3,90.9,82.6,75.1,68.3,56.4
CUS-00040,ADV-0111,1,0.0516,13.1,94.8,90.0,80.9,65.5,53.0,42.9,28.1
CUS-00040,ADV-0244,2,0.0512,13.2,94.9,90.0,81.0,65.7,53.2,43.1,28.3
CUS-00040,ADV-0209,3,0.0547,12.3,94.5,89.4,79.9,63.8,50.9,40.7,25.9
CUS-00041,ADV-0131,1,0.0174,39.5,98.3,96.5,93.2,86.9,81.0,75.5,65.6
CUS-00041,ADV-0074,2,0.0176,39.1,98.2,96.5,93.2,86.8,80.9,75.3,65.4
CUS-00041,ADV-0150,3,0.0178,38.5,98.2,96.5,93.1,86.6,80.6,75.0,64.9
CUS-00042,ADV-0134,1,0.0157,43.9,98.4,96.9,93.9,88.1,82.7,77.7,68.5
CUS-00042,ADV-0222,2,0.0156,44.1,98.4,96.9,93.9,88.2,82.8,77.7,68.6
CUS-00042,ADV-0091,3,0.0153,45.0,98.5,97.0,94.0,88.4,83.1,78.2,69.1
CUS-00043,ADV-0055,1,0.0266,25.7,97.3,94.7,89.8,80.6,72.3,64.9,52.3
CUS-00043,ADV-0209,2,0.0267,25.6,97.3,94.7,89.7,80.5,72.2,64.8,52.2
CUS-00043,ADV-0067,3,0.0268,25.5,97.3,94.7,89.7,80.4,72.1,64.7,52.0
CUS-00044,ADV-0182,1,0.0338,20.2,96.6,93.4,87.2,76.0,66.2,57.7,43.8
CUS-00044,ADV-0202,2,0.0333,20.5,96.7,93.5,87.3,76.3,66.6,58.2,44.4
CUS-00044,ADV-0061,3,0.0326,20.9,96.7,93.6,87.6,76.7,67.2,58.9,45.2
CUS-00045,ADV-0116,1,0.0551,12.2,94.5,89.3,79.7,63.5,50.6,40.4,25.6
CUS-00045,ADV-0180,2,0.0544,12.4,94.6,89.4,80.0,63.9,51.1,40.9,26.1
CUS-00045,ADV-0094,3,0.0549,12.3,94.5,89.3,79.8,63.6,50.8,40.5,25.8
CUS-00046,ADV-0009,1,0.0261,26.2,97.4,94.8,90.0,80.9,72.8,65.5,53.0
CUS-00046,ADV-0011,2,0.025,27.4,97.5,95.1,90.4,81.7,73.8,66.7,54.5
CUS-00046,ADV-0187,3,0.026,26.3,97.4,94.9,90.0,81.0,72.9,65.6,53.2
CUS-00047,ADV-0018,1,0.0192,35.7,98.1,96.2,92.5,85.6,79.2,73.3,62.7
CUS-00047,ADV-0207,2,0.0193,35.5,98.1,96.2,92.5,85.5,79.1,73.2,62.6
CUS-00047,ADV-0144,3,0.0189,36.2,98.1,96.2,92.6,85.8,79.5,73.6,63.2
CUS-00048,ADV-0159,1,0.0358,19.0,96.4,93.0,86.4,74.7,64.6,55.8,41.7
CUS-00048,ADV-0093,2,0.0361,18.9,96.4,92.9,86.3,74.5,64.3,55.5,41.4
CUS-00048,ADV-0148,3,0.0351,19.4,96.5,93.1,86.7,75.2,65.2,56.5,42.5
CUS-00049,ADV-0205,1,0.0423,16.0,95.8,91.7,84.1,70.8,59.5,50.1,35.4
CUS-00049,ADV-0039,2,0.0442,15.3,95.6,91.4,83.5,69.7,58.1,48.5,33.8
CUS-00049,ADV-0224,3,0.0443,15.3,95.6,91.3,83.4,69.6,58.0,48.4,33.7
CUS-00050,ADV-0047,1,0.0278,24.6,97.2,94.5,89.3,79.8,71.3,63.7,50.9
CUS-00050,ADV-0063,2,0.0291,23.5,97.1,94.3,88.9,79.0,70.2,62.4,49.2
CUS-00050,ADV-0240,3,0.0289,23.7,97.1,94.3,88.9,79.1,70.4,62.6,49.5
CUS-00051,ADV-0009,1,0.018,38.2,98.2,96.4,93.0,86.5,80.4,74.8,64.7
CUS-00051,ADV-0159,2,0.0174,39.5,98.3,96.6,93.2,86.9,81.0,75.5,65.6
CUS-00051,ADV-0148,3,0.017,40.3,98.3,96.6,93.4,87.2,81.4,76.0,66.2
CUS-00052,ADV-0072,1,0.059,11.4,94.1,88.6,78.4,61.5,48.2,37.8,23.2
CUS-00052,ADV-0211,2,0.0576,11.7,94.2,88.8,78.9,62.2,49.1,38.7,24.1
CUS-00052,ADV-0066,3,0.0561,12.0,94.4,89.1,79.4,63.0,50.0,39.7,25.0
CUS-00053,ADV-0064,1,0.0256,26.7,97.4,94.9,90.1,81.3,73.2,66.0,53.6
CUS-00053,ADV-0096,2,0.026,26.3,97.4,94.9,90.0,81.0,72.9,65.6,53.1
CUS-00053,ADV-0095,3,0.0253,27.0,97.5,95.0,90.2,81.4,73.5,66.3,54.0
CUS-00054,ADV-0159,1,0.0375,18.1,96.2,92.6,85.8,73.7,63.2,54.2,40.0
CUS-00054,ADV-0093,2,0.0378,18.0,96.2,92.6,85.7,73.5,63.0,54.0,39.6
CUS-00054,ADV-0074,3,0.0379,18.0,96.2,92.6,85.7,73.4,62.9,53.9,39.6
CUS-00055,ADV-0205,1,0.0257,26.6,97.4,94.9,90.1,81.2,73.2,65.9,53.5
CUS-00055,ADV-0202,2,0.0268,25.5,97.3,94.7,89.7,80.5,72.2,64.7,52.1
CUS-00055,ADV-0070,3,0.0272,25.1,97.3,94.6,89.6,80.2,71.8,64.3,51.6
CUS-00056,ADV-0092,1,0.054,12.5,94.6,89.5,80.1,64.2,51.4,41.2,26.4
CUS-00056,ADV-0022,2,0.0527,12.8,94.7,89.7,80.5,64.9,52.2,42.1,27.3
CUS-00056,ADV-0097,3,0.0528,12.8,94.7,89.7,80.5,64.8,52.2,42.0,27.2
CUS-00057,ADV-0039,1,0.0323,21.1,96.8,93.6,87.7,76.9,67.4,59.1,45.5
CUS-00057,ADV-0014,2,0.0328,20.8,96.7,93.5,87.5,76.6,67.0,58.7,44.9
CUS-00057,ADV-0198,3,0.0326,20.9,96.7,93.6,87.6,76.7,67.2,58.8,45.1
CUS-00058,ADV-0042,1,0.0513,13.2,94.9,90.0,81.0,65.6,53.1,43.0,28.2
CUS-00058,ADV-0099,2,0.0492,13.7,95.1,90.4,81.7,66.8,54.6,44.6,29.8
CUS-00058,ADV-0082,3,0.0504,13.4,95.0,90.2,81.3,66.1,53.7,43.7,28.9
CUS-00059,ADV-0111,1,0.0187,36.8,98.1,96.3,92.7,86.0,79.8,74.0,63.6
CUS-00059,ADV-0055,2,0.0197,34.8,98.0,96.1,92.3,85.3,78.7,72.7,62.0
CUS-00059,ADV-0079,3,0.0189,36.4,98.1,96.3,92.7,85.9,79.6,73.7,63.3
CUS-00060,ADV-0225,1,0.0252,27.1,97.5,95.0,90.3,81.5,73.6,66.5,54.2
CUS-00060,ADV-0067,2,0.0249,27.4,97.5,95.1,90.4,81.7,73.9,66.8,54.5
CUS-00060,ADV-0136,3,0.0237,28.9,97.6,95.3,90.9,82.5,75.0,68.1,56.2
CUS-00061,ADV-0162,1,0.0412,16.5,95.9,91.9,84.5,71.4,60.3,51.0,36.4
CUS-00061,ADV-0023,2,0.0427,15.9,95.7,91.6,84.0,70.5,59.2,49.8,35.1
CUS-00061,ADV-0002,3,0.0431,15.7,95.7,91.6,83.8,70.3,58.9,49.4,34.7
CUS-00062,ADV-0222,1,0.0303,22.5,97.0,94.0,88.4,78.2,69.1,61.1,47.8
CUS-00062,ADV-0100,2,0.0294,23.3,97.1,94.2,88.8,78.8,69.9,62.1,48.9
CUS-00062,ADV-0203,3,0.0301,22.7,97.0,94.1,88.5,78.3,69.3,61.4,48.1
CUS-00063,ADV-0197,1,0.0308,22.1,96.9,93.9,88.2,77.8,68.7,60.6,47.1
CUS-00063,ADV-0223,2,0.0306,22.3,96.9,94.0,88.3,78.0,68.9,60.8,47.5
CUS-00063,ADV-0032,3,0.0311,22.0,96.9,93.9,88.1,77.7,68.5,60.4,46.9
CUS-00064,ADV-0111,1,0.0309,22.1,96.9,93.9,88.2,77.8,68.6,60.5,47.1
CUS-00064,ADV-0047,2,0.0312,21.9,96.9,93.9,88.1,77.6,68.4,60.2,46.7
CUS-00064,ADV-0225,3,0.0333,20.5,96.7,93.5,87.3,76.3,66.6,58.2,44.4
CUS-00065,ADV-0028,1,0.0515,13.1,94.8,90.0,80.9,65.5,53.0,42.9,28.1
CUS-00065,ADV-0094,2,0.052,13.0,94.8,89.9,80.8,65.2,52.7,42.6,27.8
CUS-00065,ADV-0022,3,0.0509,13.3,94.9,90.1,81.1,65.8,53.4,43.3,28.5
CUS-00066,ADV-0006,1,0.0392,17.3,96.1,92.3,85.2,72.6,61.9,52.7,38.3
CUS-00066,ADV-0062,2,0.0387,17.6,96.1,92.4,85.4,72.9,62.3,53.2,38.8
CUS-00066,ADV-0117,3,0.0389,17.5,96.1,92.4,85.3,72.8,62.1,53.0,38.5
CUS-00067,ADV-0009,1,0.0266,25.7,97.3,94.7,89.8,80.6,72.4,65.0,52.3
CUS-00067,ADV-0008,2,0.0248,27.6,97.5,95.1,90.4,81.8,74.0,66.9,54.7
CUS-00067,ADV-0083,3,0.0255,26.8,97.4,95.0,90.2,81.3,73.3,66.1,53.8
CUS-00068,ADV-0092,1,0.038,17.9,96.2,92.6,85.7,73.4,62.9,53.8,39.5
CUS-00068,ADV-0044,2,0.0384,17.7,96.2,92.5,85.5,73.1,62.5,53.4,39.1
CUS-00068,ADV-0053,3,0.0369,18.5,96.3,92.8,86.0,74.0,63.7,54.8,40.6
CUS-00069,ADV-0019,1,0.034,20.1,96.6,93.3,87.1,75.9,66.1,57.5,43.7
CUS-00069,ADV-0064,2,0.0329,20.7,96.7,93.5,87.5,76.5,67.0,58.6,44.8
CUS-00069,ADV-0096,3,0.0334,20.4,96.7,93.4,87.3,76.2,66.5,58.1,44.3
CUS-00070,ADV-0038,1,0.0345,19.8,96.6,93.2,86.9,75.5,65.6,57.0,43.1
CUS-00070,ADV-0047,2,0.0338,20.2,96.6,93.4,87.1,75.9,66.2,57.7,43.8
CUS-00070,ADV-0240,3,0.0351,19.4,96.5,93.1,86.7,75.1,65.1,56.4,42.4
CUS-00071,ADV-0074,1,0.019,36.1,98.1,96.2,92.6,85.8,79.4,73.6,63.1
CUS-00071,ADV-0172,2,0.0195,35.2,98.1,96.1,92.4,85.4,79.0,73.0,62.4
CUS-00071,ADV-0138,3,0.0194,35.5,98.1,96.2,92.5,85.5,79.1,73.1,62.6
CUS-00072,ADV-0009,1,0.0425,16.0,95.7,91.7,84.0,70.6,59.4,49.9,35.2
CUS-00072,ADV-0186,2,0.0401,16.9,96.0,92.1,84.9,72.1,61.2,51.9,37.4
CUS-00072,ADV-0076,3,0.0412,16.5,95.9,91.9,84.5,71.4,60.4,51.0,36.5
CUS-00073,ADV-0060,1,0.0395,17.2,96.0,92.2,85.1,72.4,61.6,52.4,38.0
CUS-00073,ADV-0056,2,0.0377,18.0,96.2,92.6,85.7,73.5,63.0,54.1,39.7
CUS-00073,ADV-0002,3,0.0398,17.1,96.0,92.2,85.0,72.2,61.4,52.2,37.7
CUS-00074,ADV-0111,1,0.02,34.2,98.0,96.0,92.2,85.0,78.4,72.3,61.5
CUS-00074,ADV-0047,2,0.0202,33.9,98.0,96.0,92.1,84.9,78.2,72.1,61.2
CUS-00074,ADV-0244,3,0.0199,34.5,98.0,96.1,92.3,85.1,78.6,72.5,61.7
CUS-00075,ADV-0171,1,0.0198,34.6,98.0,96.1,92.3,85.2,78.7,72.6,61.9
CUS-00075,ADV-0093,2,0.0201,34.1,98.0,96.0,92.2,85.0,78.3,72.2,61.4
CUS-00075,ADV-0187,3,0.0206,33.4,97.9,95.9,92.0,84.7,77.9,71.7,60.7
CUS-00076,ADV-0064,1,0.0208,33.1,97.9,95.9,92.0,84.6,77.8,71.5,60.5
CUS-00076,ADV-0055,2,0.0209,32.9,97.9,95.9,91.9,84.5,77.6,71.4,60.3
CUS-00076,ADV-0225,3,0.0213,32.2,97.9,95.8,91.8,84.2,77.3,70.9,59.7
CUS-00077,ADV-0009,1,0.0352,19.3,96.5,93.1,86.6,75.1,65.0,56.3,42.3
CUS-00077,ADV-0171,2,0.0338,20.2,96.6,93.4,87.2,76.0,66.2,57.7,43.9
CUS-00077,ADV-0187,3,0.035,19.4,96.5,93.1,86.7,75.2,65.2,56.5,42.5
CUS-00078,ADV-0131,1,0.0168,40.8,98.3,96.7,93.4,87.3,81.6,76.2,66.5
CUS-00078,ADV-0187,2,0.0173,39.7,98.3,96.6,93.3,87.0,81.1,75.6,65.8
CUS-00078,ADV-0148,3,0.0165,41.7,98.4,96.7,93.6,87.6,81.9,76.7,67.1
CUS-00079,ADV-0197,1,0.0525,12.9,94.8,89.8,80.6,65.0,52.4,42.2,27.4
CUS-00079,ADV-0182,2,0.054,12.5,94.6,89.5,80.1,64.1,51.4,41.1,26.4
CUS-00079,ADV-0032,3,0.0528,12.8,94.7,89.7,80.5,64.8,52.1,42.0,27.2
CUS-00080,ADV-0006,1,0.0864,7.7,91.4,83.5,69.7,48.5,33.8,23.5,11.4
CUS-00080,ADV-0146,2,0.0875,7.6,91.2,83.3,69.3,48.1,33.3,23.1,11.1
CUS-00080,ADV-0206,3,0.0832,8.0,91.7,84.0,70.6,49.9,35.2,24.9,12.4
CUS-00081,ADV-0079,1,0.0192,35.7,98.1,96.2,92.5,85.6,79.2,73.3,62.7
CUS-00081,ADV-0161,2,0.0191,36.0,98.1,96.2,92.6,85.7,79.4,73.5,63.0
CUS-00081,ADV-0045,3,0.0193,35.6,98.1,96.2,92.5,85.6,79.2,73.2,62.7
CUS-00082,ADV-0011,1,0.0197,34.8,98.0,96.1,92.3,85.3,78.7,72.7,62.0
CUS-00082,ADV-0148,2,0.0195,35.1,98.0,96.1,92.4,85.4,78.9,72.9,62.3
CUS-00082,ADV-0034,3,0.0201,34.1,98.0,96.0,92.2,85.0,78.4,72.3,61.4
CUS-00083,ADV-0009,1,0.0201,34.1,98.0,96.0,92.2,85.0,78.3,72.2,61.4
CUS-00083,ADV-0219,2,0.0199,34.6,98.0,96.1,92.3,85.2,78.6,72.6,61.8
CUS-00083,ADV-0074,3,0.0196,34.9,98.0,96.1,92.4,85.3,78.8,72.8,62.1
CUS-00084,ADV-0060,1,0.0272,25.1,97.3,94.6,89.5,80.2,71.8,64.3,51.6
CUS-00084,ADV-0048,2,0.0267,25.6,97.3,94.7,89.7,80.5,72.3,64.8,52.2
CUS-00084,ADV-0071,3,0.0278,24.6,97.2,94.5,89.3,79.8,71.3,63.7,50.8
CUS-00085,ADV-0038,1,0.0207,33.1,97.9,95.9,92.0,84.6,77.8,71.6,60.5
CUS-00085,ADV-0209,2,0.0213,32.2,97.9,95.8,91.7,84.2,77.2,70.9,59.6
CUS-00085,ADV-0166,3,0.0211,32.5,97.9,95.8,91.8,84.3,77.4,71.1,59.9
CUS-00086,ADV-0048,1,0.024,28.6,97.6,95.3,90.8,82.4,74.8,67.8,55.9
CUS-00086,ADV-0222,2,0.0247,27.7,97.5,95.1,90.5,81.9,74.1,67.0,54.9
CUS-00086,ADV-0091,3,0.0242,28.3,97.6,95.2,90.7,82.2,74.6,67.6,55.6
CUS-00087,ADV-0019,1,0.0382,17.8,96.2,92.5,85.6,73.3,62.7,53.7,39.3
CUS-00087,ADV-0038,2,0.0362,18.8,96.4,92.9,86.3,74.4,64.2,55.4,41.3
CUS-00087,ADV-0063,3,0.0372,18.3,96.3,92.7,85.9,73.8,63.5,54.5,40.3
