customer_id,journey_id,polarity,feature,contribution
CUS-00014,JNY-00014,negative,Open barriers,-0.8
CUS-00014,JNY-00014,negative,Action plan completion,0.0
CUS-00014,JNY-00014,negative,Vacancies engaged,0.0
CUS-00015,JNY-00015,positive,SMS reply rate,0.798
CUS-00015,JNY-00015,positive,CV progress,0.56
CUS-00015,JNY-00015,positive,Adviser sessions attended,0.35
CUS-00015,JNY-00015,negative,Open barriers,-0.8
CUS-00015,JNY-00015,negative,Region demand,-0.02
CUS-00015,JNY-00015,negative,Action plan completion,0.0
CUS-00016,JNY-00016,positive,SMS reply rate,1.226
CUS-00016,JNY-00016,positive,CV progress,1.147
CUS-00016,JNY-00016,positive,Push open rate,0.485
CUS-00016,JNY-00016,negative,Region demand,-0.032
CUS-00016,JNY-00016,negative,Open barriers,-0.0
CUS-00016,JNY-00016,negative,Sector demand,0.125
CUS-00017,JNY-00017,positive,CV progress,0.517
CUS-00017,JNY-00017,positive,Vacancies engaged,0.48
CUS-00017,JNY-00017,positive,SMS reply rate,0.306
CUS-00017,JNY-00017,negative,Open barriers,-1.6
CUS-00017,JNY-00017,negative,Region demand,-0.032
CUS-00017,JNY-00017,negative,Action plan completion,0.0
CUS-00018,JNY-00018,positive,SMS reply rate,1.194
CUS-00018,JNY-00018,positive,CV progress,1.042
CUS-00018,JNY-00018,positive,Adviser sessions attended,0.7
CUS-00018,JNY-00018,negative,Sector demand,-0.075
CUS-00018,JNY-00018,negative,Open barriers,-0.0
CUS-00018,JNY-00018,negative,Region demand,0.072
CUS-00019,JNY-00019,positive,CV progress,1.143
CUS-00019,JNY-00019,positive,SMS reply rate,0.958
CUS-00019,JNY-00019,positive,Vacancies engaged,0.8
CUS-00019,JNY-00019,negative,Region demand,-0.02
CUS-00019,JNY-00019,negative,Open barriers,-0.0
CUS-00019,JNY-00019,negative,Sector demand,0.075
CUS-00020,JNY-00020,positive,SMS reply rate,0.67
CUS-00020,JNY-00020,positive,Vacancies engaged,0.48
CUS-00020,JNY-00020,positive,Adviser sessions attended,0.35
CUS-00020,JNY-00020,negative,Open barriers,-1.6
CUS-00020,JNY-00020,negative,Sector demand,-0.075
CUS-00020,JNY-00020,negative,Region demand,-0.048
CUS-00021,JNY-00021,positive,SMS reply rate,0.546
CUS-00021,JNY-00021,positive,CV progress,0.468
CUS-00021,JNY-00021,positive,Action plan completion,0.3
CUS-00021,JNY-00021,negative,Open barriers,-1.6
CUS-00021,JNY-00021,negative,Adviser sessions attended,0.0
CUS-00021,JNY-00021,negative,Region demand,0.072
CUS-00022,JNY-00022,positive,SMS reply rate,0.972
CUS-00022,JNY-00022,positive,CV progress,0.806
CUS-00022,JNY-00022,positive,Push open rate,0.674
CUS-00022,JNY-00022,negative,Region demand,-0.02
CUS-00022,JNY-00022,negative,Open barriers,-0.0
CUS-00022,JNY-00022,negative,Sector demand,0.05
CUS-00023,JNY-00023,positive,SMS reply rate,1.86
CUS-00023,JNY-00023,positive,Vacancies engaged,1.6
CUS-00023,JNY-00023,positive,CV progress,1.521
CUS-00023,JNY-00023,negative,Region demand,-0.032
CUS-00023,JNY-00023,negative,Open barriers,-0.0
CUS-00023,JNY-00023,negative,Sector demand,0.05
CUS-00024,JNY-00024,positive,CV progress,1.161
CUS-00024,JNY-00024,positive,SMS reply rate,1.138
CUS-00024,JNY-00024,positive,Push open rate,0.649
CUS-00024,JNY-00024,negative,Region demand,-0.032
CUS-00024,JNY-00024,negative,Open barriers,-0.0
CUS-00024,JNY-00024,negative,Sector demand,0.15
CUS-00025,JNY-00025,positive,Vacancies engaged,0.48
CUS-00025,JNY-00025,positive,Push open rate,0.35
CUS-00025,JNY-00025,positive,SMS reply rate,0.296
CUS-00025,JNY-00025,negative,Open barriers,-0.8
CUS-00025,JNY-00025,negative,Region demand,-0.048
CUS-00025,JNY-00025,negative,Sector demand,-0.04
CUS-00026,JNY-00026,positive,CV progress,0.758
CUS-00026,JNY-00026,positive,Adviser sessions attended,0.35
CUS-00026,JNY-00026,positive,SMS reply rate,0.21
CUS-00026,JNY-00026,negative,Open barriers,-1.6
CUS-00026,JNY-00026,negative,Region demand,-0.048
CUS-00026,JNY-00026,negative,Action plan completion,0.0
CUS-00027,JNY-00027,positive,CV progress,0.742
CUS-00027,JNY-00027,positive,SMS reply rate,0.642
CUS-00027,JNY-00027,positive,Vacancies engaged,0.48
CUS-00027,JNY-00027,negative,Open barriers,-1.2
CUS-00027,JNY-00027,negative,Region demand,-0.032
CUS-00027,JNY-00027,negative,Action plan completion,0.0
CUS-00028,JNY-00028,positive,SMS reply rate,0.472
CUS-00028,JNY-00028,positive,Push open rate,0.396
CUS-00028,JNY-00028,positive,CV progress,0.32
CUS-00028,JNY-00028,negative,Open barriers,-0.8
CUS-00028,JNY-00028,negative,Action plan completion,0.0
CUS-00028,JNY-00028,negative,Adviser sessions attended,0.0
CUS-00029,JNY-00029,positive,CV progress,0.731
CUS-00029,JNY-00029,positive,SMS reply rate,0.646
CUS-00029,JNY-00029,positive,Adviser sessions attended,0.35
CUS-00029,JNY-00029,negative,Open barriers,-1.6
CUS-00029,JNY-00029,negative,Sector demand,-0.04
CUS-00029,JNY-00029,negative,Action plan completion,0.0
CUS-00030,JNY-00030,positive,SMS reply rate,0.722
CUS-00030,JNY-00030,positive,Adviser sessions attended,0.35
CUS-00030,JNY-00030,positive,CV progress,0.301
CUS-00030,JNY-00030,negative,Open barriers,-1.6
CUS-00030,JNY-00030,negative,Region demand,-0.02
CUS-00030,JNY-00030,negative,Action plan completion,0.0
CUS-00031,JNY-00031,positive,SMS reply rate,1.762
CUS-00031,JNY-00031,positive,CV progress,1.741
CUS-00031,JNY-00031,positive,Push open rate,1.121
CUS-00031,JNY-00031,negative,Region demand,-0.032
CUS-00031,JNY-00031,negative,Open barriers,-0.0
CUS-00031,JNY-00031,negative,Sector demand,0.125
CUS-00032,JNY-00032,positive,SMS reply rate,1.744
CUS-00032,JNY-00032,positive,CV progress,1.656
CUS-00032,JNY-00032,positive,Vacancies engaged,1.12
CUS-00032,JNY-00032,negative,Open barriers,-0.0
CUS-00032,JNY-00032,negative,Region demand,0.04
CUS-00032,JNY-00032,negative,Sector demand,0.125
CUS-00033,JNY-00033,positive,CV progress,0.704
CUS-00033,JNY-00033,positive,SMS reply rate,0.314
CUS-00033,JNY-00033,positive,Push open rate,0.306
CUS-00033,JNY-00033,negative,Open barriers,-1.2
CUS-00033,JNY-00033,negative,Region demand,-0.048
CUS-00033,JNY-00033,negative,Adviser sessions attended,0.0
CUS-00034,JNY-00034,positive,SMS reply rate,0.788
CUS-00034,JNY-00034,positive,CV progress,0.7
CUS-00034,JNY-00034,positive,Adviser sessions attended,0.35
CUS-00034,JNY-00034,negative,Open barriers,-0.8
CUS-00034,JNY-00034,negative,Sector demand,-0.075
CUS-00034,JNY-00034,negative,Action plan completion,0.0
CUS-00035,JNY-00035,positive,SMS reply rate,1.726
CUS-00035,JNY-00035,positive,CV progress,1.672
CUS-00035,JNY-00035,positive,Vacancies engaged,1.28
CUS-00035,JNY-00035,negative,Open barriers,-0.0
CUS-00035,JNY-00035,negative,Region demand,0.04
CUS-00035,JNY-00035,negative,Sector demand,0.125
CUS-00036,JNY-00036,positive,Adviser sessions attended,0.35
CUS-00036,JNY-00036,positive,Action plan completion,0.3
CUS-00036,JNY-00036,positive,SMS reply rate,0.228
CUS-00036,JNY-00036,negative,Open barriers,-1.6
CUS-00036,JNY-00036,negative,Sector demand,-0.075
CUS-00036,JNY-00036,negative,Vacancies engaged,0.0
CUS-00037,JNY-00037,positive,SMS reply rate,0.676
CUS-00037,JNY-00037,positive,Adviser sessions attended,0.35
CUS-00037,JNY-00037,positive,Vacancies engaged,0.32
CUS-00037,JNY-00037,negative,Open barriers,-1.2
CUS-00037,JNY-00037,negative,Sector demand,-0.01
CUS-00037,JNY-00037,negative,Action plan completion,0.0
CUS-00038,JNY-00038,positive,SMS reply rate,0.678
CUS-00038,JNY-00038,positive,CV progress,0.608
CUS-00038,JNY-00038,positive,Vacancies engaged,0.16
CUS-00038,JNY-00038,negative,Open barriers,-1.2
CUS-00038,JNY-00038,negative,Region demand,-0.032
CUS-00038,JNY-00038,negative,Action plan completion,0.0
CUS-00039,JNY-00039,positive,SMS reply rate,0.56
CUS-00039,JNY-00039,positive,Vacancies engaged,0.48
CUS-00039,JNY-00039,positive,CV progress,0.385
CUS-00039,JNY-00039,negative,Open barriers,-1.6
CUS-00039,JNY-00039,negative,Sector demand,-0.075
CUS-00039,JNY-00039,negative,Region demand,0.072
CUS-00040,JNY-00040,positive,CV progress,0.704
CUS-00040,JNY-00040,positive,SMS reply rate,0.6
CUS-00040,JNY-00040,positive,Push open rate,0.39
CUS-00040,JNY-00040,negative,Open barriers,-1.2
CUS-00040,JNY-00040,negative,Region demand,-0.048
CUS-00040,JNY-00040,negative,Vacancies engaged,0.0
CUS-00041,JNY-00041,positive,SMS reply rate,0.914
CUS-00041,JNY-00041,positive,CV progress,0.895
CUS-00041,JNY-00041,positive,Action plan completion,0.6
CUS-00041,JNY-00041,negative,Open barriers,-0.8
CUS-00041,JNY-00041,negative,Region demand,-0.02
CUS-00041,JNY-00041,negative,Sector demand,0.0
CUS-00042,JNY-00042,positive,SMS reply rate,0.56
CUS-00042,JNY-00042,positive,Vacancies engaged,0.48
CUS-00042,JNY-00042,positive,CV progress,0.247
CUS-00042,JNY-00042,negative,Open barriers,-1.6
CUS-00042,JNY-00042,negative,Region demand,-0.032
CUS-00042,JNY-00042,negative,Action plan completion,0.0
CUS-00043,JNY-00043,positive,CV progress,0.513
CUS-00043,JNY-00043,positive,Vacancies engaged,0.48
CUS-00043,JNY-00043,positive,SMS reply rate,0.408
CUS-00043,JNY-00043,negative,Open barriers,-1.2
CUS-00043,JNY-00043,negative,Region demand,-0.048
CUS-00043,JNY-00043,negative,Action plan completion,0.0
CUS-00044,JNY-00044,positive,SMS reply rate,0.722
CUS-00044,JNY-00044,positive,CV progress,0.583
CUS-00044,JNY-00044,positive,Action plan completion,0.3
CUS-00044,JNY-00044,negative,Open barriers,-1.6
CUS-00044,JNY-00044,negative,Vacancies engaged,0.0
CUS-00044,JNY-00044,negative,Adviser sessions attended,0.0
CUS-00045,JNY-00045,positive,SMS reply rate,0.682
CUS-00045,JNY-00045,positive,CV progress,0.545
CUS-00045,JNY-00045,positive,Adviser sessions attended,0.35
CUS-00045,JNY-00045,negative,Open barriers,-1.2
CUS-00045,JNY-00045,negative,Region demand,0.04
CUS-00045,JNY-00045,negative,Sector demand,0.15
CUS-00046,JNY-00046,positive,SMS reply rate,1.284
CUS-00046,JNY-00046,positive,CV progress,1.004
CUS-00046,JNY-00046,positive,Vacancies engaged,0.8
CUS-00046,JNY-00046,negative,Region demand,-0.02
CUS-00046,JNY-00046,negative,Open barriers,-0.0
CUS-00046,JNY-00046,negative,Sector demand,0.025
CUS-00047,JNY-00047,positive,SMS reply rate,1.022
CUS-00047,JNY-00047,positive,CV progress,0.895
CUS-00047,JNY-00047,positive,Adviser sessions attended,0.7
CUS-00047,JNY-00047,negative,Open barriers,-0.8
CUS-00047,JNY-00047,negative,Sector demand,0.05
CUS-00047,JNY-00047,negative,Region demand,0.072
CUS-00048,JNY-00048,positive,SMS reply rate,1.178
CUS-00048,JNY-00048,positive,CV progress,1.147
CUS-00048,JNY-00048,positive,Vacancies engaged,0.8
CUS-00048,JNY-00048,negative,Sector demand,-0.075
CUS-00048,JNY-00048,negative,Region demand,-0.02
CUS-00048,JNY-00048,negative,Open barriers,-0.0
CUS-00049,JNY-00049,positive,CV progress,0.625
CUS-00049,JNY-00049,positive,SMS reply rate,0.564
CUS-00049,JNY-00049,positive,Adviser sessions attended,0.35
CUS-00049,JNY-00049,negative,Open barriers,-1.6
CUS-00049,JNY-00049,negative,Action plan completion,0.0
CUS-00049,JNY-00049,negative,Region demand,0.072
CUS-00050,JNY-00050,positive,CV progress,1.125
CUS-00050,JNY-00050,positive,SMS reply rate,1.084
CUS-00050,JNY-00050,positive,Adviser sessions attended,0.7
CUS-00050,JNY-00050,negative,Region demand,-0.048
CUS-00050,JNY-00050,negative,Open barriers,-0.0
CUS-00050,JNY-00050,negative,Sector demand,0.05
CUS-00051,JNY-00051,positive,CV progress,0.475
CUS-00051,JNY-00051,positive,SMS reply rate,0.462
CUS-00051,JNY-00051,positive,Push open rate,0.205
CUS-00051,JNY-00051,negative,Open barriers,-1.2
CUS-00051,JNY-00051,negative,Sector demand,-0.05
CUS-00051,JNY-00051,negative,Region demand,-0.02
CUS-00052,JNY-00052,positive,Adviser sessions attended,0.35
CUS-00052,JNY-00052,positive,Vacancies engaged,0.32
CUS-00052,JNY-00052,positive,Action plan completion,0.3
CUS-00052,JNY-00052,negative,Open barriers,-1.2
CUS-00052,JNY-00052,negative,Region demand,0.072
CUS-00052,JNY-00052,negative,Sector demand,0.15
CUS-00053,JNY-00053,positive,CV progress,0.502
CUS-00053,JNY-00053,positive,Vacancies engaged,0.48
CUS-00053,JNY-00053,positive,SMS reply rate,0.478
CUS-00053,JNY-00053,negative,Open barriers,-1.6
CUS-00053,JNY-00053,negative,Region demand,-0.048
CUS-00053,JNY-00053,negative,Sector demand,-0.01
CUS-00054,JNY-00054,positive,CV progress,1.273
CUS-00054,JNY-00054,positive,SMS reply rate,1.038
CUS-00054,JNY-00054,positive,Push open rate,0.77
CUS-00054,JNY-00054,negative,Region demand,-0.02
CUS-00054,JNY-00054,negative,Open barriers,-0.0
CUS-00054,JNY-00054,negative,Sector demand,0.05
CUS-00055,JNY-00055,positive,SMS reply rate,0.462
CUS-00055,JNY-00055,positive,CV progress,0.376
CUS-00055,JNY-00055,positive,Vacancies engaged,0.32
CUS-00055,JNY-00055,negative,Open barriers,-1.2
CUS-00055,JNY-00055,negative,Sector demand,-0.01
CUS-00055,JNY-00055,negative,Action plan completion,0.0
CUS-00056,JNY-00056,positive,SMS reply rate,1.066
CUS-00056,JNY-00056,positive,CV progress,0.976
CUS-00056,JNY-00056,positive,Push open rate,0.768
CUS-00056,JNY-00056,negative,Open barriers,-0.4
CUS-00056,JNY-00056,negative,Region demand,0.04
CUS-00056,JNY-00056,negative,Sector demand,0.15
CUS-00057,JNY-00057,positive,CV progress,0.612
CUS-00057,JNY-00057,positive,Push open rate,0.401
CUS-00057,JNY-00057,positive,Adviser sessions attended,0.35
CUS-00057,JNY-00057,negative,Open barriers,-1.6
CUS-00057,JNY-00057,negative,Action plan completion,0.0
CUS-00057,JNY-00057,negative,Sector demand,0.025
CUS-00058,JNY-00058,positive,CV progress,0.427
CUS-00058,JNY-00058,positive,Action plan completion,0.3
CUS-00058,JNY-00058,positive,SMS reply rate,0.298
CUS-00058,JNY-00058,negative,Open barriers,-1.6
CUS-00058,JNY-00058,negative,Region demand,-0.02
CUS-00058,JNY-00058,negative,Adviser sessions attended,0.0
CUS-00059,JNY-00059,positive,CV progress,0.778
CUS-00059,JNY-00059,positive,Vacancies engaged,0.48
CUS-00059,JNY-00059,positive,SMS reply rate,0.456
CUS-00059,JNY-00059,negative,Open barriers,-1.6
CUS-00059,JNY-00059,negative,Region demand,-0.048
CUS-00059,JNY-00059,negative,Action plan completion,0.0
CUS-00060,JNY-00060,positive,SMS reply rate,1.662
CUS-00060,JNY-00060,positive,CV progress,1.647
CUS-00060,JNY-00060,positive,Vacancies engaged,1.28
CUS-00060,JNY-00060,negative,Sector demand,-0.05
CUS-00060,JNY-00060,negative,Region demand,-0.048
CUS-00060,JNY-00060,negative,Open barriers,-0.0
CUS-00061,JNY-00061,positive,CV progress,1.753
CUS-00061,JNY-00061,positive,SMS reply rate,1.748
CUS-00061,JNY-00061,positive,Push open rate,1.093
CUS-00061,JNY-00061,negative,Region demand,-0.032
CUS-00061,JNY-00061,negative,Open barriers,-0.0
CUS-00061,JNY-00061,negative,Sector demand,0.075
CUS-00062,JNY-00062,positive,SMS reply rate,1.342
CUS-00062,JNY-00062,positive,CV progress,1.084
CUS-00062,JNY-00062,positive,Adviser sessions attended,0.7
CUS-00062,JNY-00062,negative,Region demand,-0.032
CUS-00062,JNY-00062,negative,Open barriers,-0.0
CUS-00062,JNY-00062,negative,Sector demand,0.15
CUS-00063,JNY-00063,positive,SMS reply rate,0.358
CUS-00063,JNY-00063,positive,Vacancies engaged,0.32
CUS-00063,JNY-00063,positive,CV progress,0.274
CUS-00063,JNY-00063,negative,Open barriers,-1.2
CUS-00063,JNY-00063,negative,Action plan completion,0.0
CUS-00063,JNY-00063,negative,Adviser sessions attended,0.0
CUS-00064,JNY-00064,positive,SMS reply rate,0.652
CUS-00064,JNY-00064,positive,CV progress,0.626
CUS-00064,JNY-00064,positive,Vacancies engaged,0.48
CUS-00064,JNY-00064,negative,Open barriers,-1.2
CUS-00064,JNY-00064,negative,Region demand,-0.048
CUS-00064,JNY-00064,negative,Action plan completion,0.0
CUS-00065,JNY-00065,positive,SMS reply rate,1.702
CUS-00065,JNY-00065,positive,CV progress,1.627
CUS-00065,JNY-00065,positive,Vacancies engaged,1.12
CUS-00065,JNY-00065,negative,Open barriers,-0.0
CUS-00065,JNY-00065,negative,Region demand,0.04
CUS-00065,JNY-00065,negative,Sector demand,0.075
CUS-00066,JNY-00066,positive,SMS reply rate,0.476
CUS-00066,JNY-00066,positive,Adviser sessions attended,0.35
CUS-00066,JNY-00066,positive,Vacancies engaged,0.32
CUS-00066,JNY-00066,negative,Open barriers,-1.2
CUS-00066,JNY-00066,negative,Sector demand,0.05
CUS-00066,JNY-00066,negative,Region demand,0.072
CUS-00067,JNY-00067,positive,CV progress,1.231
CUS-00067,JNY-00067,positive,SMS reply rate,1.1
CUS-00067,JNY-00067,positive,Push open rate,0.706
CUS-00067,JNY-00067,negative,Region demand,-0.02
CUS-00067,JNY-00067,negative,Open barriers,-0.0
CUS-00067,JNY-00067,negative,Sector demand,0.0
CUS-00068,JNY-00068,positive,SMS reply rate,0.766
CUS-00068,JNY-00068,positive,CV progress,0.628
CUS-00068,JNY-00068,positive,Adviser sessions attended,0.35
CUS-00068,JNY-00068,negative,Open barriers,-1.2
CUS-00068,JNY-00068,negative,Action plan completion,0.0
CUS-00068,JNY-00068,negative,Vacancies engaged,0.0
CUS-00069,JNY-00069,positive,Vacancies engaged,0.48
CUS-00069,JNY-00069,positive,Push open rate,0.379
CUS-00069,JNY-00069,positive,Adviser sessions attended,0.35
CUS-00069,JNY-00069,negative,Open barriers,-0.8
CUS-00069,JNY-00069,negative,Region demand,-0.048
CUS-00069,JNY-00069,negative,Sector demand,0.15
CUS-00070,JNY-00070,positive,SMS reply rate,1.912
CUS-00070,JNY-00070,positive,CV progress,1.548
CUS-00070,JNY-00070,positive,Vacancies engaged,1.28
CUS-00070,JNY-00070,negative,Sector demand,-0.05
CUS-00070,JNY-00070,negative,Region demand,-0.048
CUS-00070,JNY-00070,negative,Open barriers,-0.0
CUS-00071,JNY-00071,positive,CV progress,1.229
CUS-00071,JNY-00071,positive,SMS reply rate,0.958
CUS-00071,JNY-00071,positive,Vacancies engaged,0.64
CUS-00071,JNY-00071,negative,Open barriers,-0.4
CUS-00071,JNY-00071,negative,Region demand,-0.02
CUS-00071,JNY-00071,negative,Sector demand,0.0
CUS-00072,JNY-00072,positive,SMS reply rate,1.956
CUS-00072,JNY-00072,positive,Vacancies engaged,1.92
CUS-00072,JNY-00072,positive,CV progress,1.537
CUS-00072,JNY-00072,negative,Region demand,-0.02
CUS-00072,JNY-00072,negative,Open barriers,-0.0
CUS-00072,JNY-00072,negative,Sector demand,0.0
CUS-00073,JNY-00073,positive,SMS reply rate,0.618
CUS-00073,JNY-00073,positive,CV progress,0.466
CUS-00073,JNY-00073,positive,Adviser sessions attended,0.35
CUS-00073,JNY-00073,negative,Open barriers,-0.8
CUS-00073,JNY-00073,negative,Region demand,-0.032
CUS-00073,JNY-00073,negative,Sector demand,-0.01
CUS-00074,JNY-00074,positive,CV progress,0.794
CUS-00074,JNY-00074,positive,SMS reply rate,0.784
CUS-00074,JNY-00074,positive,Adviser sessions attended,0.35
CUS-00074,JNY-00074,negative,Open barriers,-1.2
CUS-00074,JNY-00074,negative,Sector demand,-0.075
CUS-00074,JNY-00074,negative,Region demand,-0.048
CUS-00075,JNY-00075,positive,CV progress,0.635
CUS-00075,JNY-00075,positive,SMS reply rate,0.572
CUS-00075,JNY-00075,positive,Vacancies engaged,0.32
CUS-00075,JNY-00075,negative,Open barriers,-1.2
CUS-00075,JNY-00075,negative,Sector demand,-0.075
CUS-00075,JNY-00075,negative,Region demand,-0.02
CUS-00076,JNY-00076,positive,CV progress,0.713
CUS-00076,JNY-00076,positive,SMS reply rate,0.666
CUS-00076,JNY-00076,positive,Push open rate,0.42
CUS-00076,JNY-00076,negative,Open barriers,-1.6
CUS-00076,JNY-00076,negative,Region demand,-0.048
CUS-00076,JNY-00076,negative,Sector demand,-0.04
CUS-00077,JNY-00077,positive,SMS reply rate,1.248
CUS-00077,JNY-00077,positive,CV progress,0.929
CUS-00077,JNY-00077,positive,Vacancies engaged,0.8
CUS-00077,JNY-00077,negative,Region demand,-0.02
CUS-00077,JNY-00077,negative,Open barriers,-0.0
CUS-00077,JNY-00077,negative,Sector demand,0.0
CUS-00078,JNY-00078,positive,CV progress,0.722
CUS-00078,JNY-00078,positive,SMS reply rate,0.426
CUS-00078,JNY-00078,positive,Vacancies engaged,0.32
CUS-00078,JNY-00078,negative,Open barriers,-1.6
CUS-00078,JNY-00078,negative,Region demand,-0.02
CUS-00078,JNY-00078,negative,Adviser sessions attended,0.0
CUS-00079,JNY-00079,positive,CV progress,0.799
CUS-00079,JNY-00079,positive,Adviser sessions attended,0.35
CUS-00079,JNY-00079,positive,Push open rate,0.334
CUS-00079,JNY-00079,negative,Open barriers,-1.6
CUS-00079,JNY-00079,negative,Sector demand,-0.04
CUS-00079,JNY-00079,negative,Region demand,0.072
CUS-00080,JNY-00080,positive,CV progress,0.695
CUS-00080,JNY-00080,positive,SMS reply rate,0.426
CUS-00080,JNY-00080,positive,Adviser sessions attended,0.35
CUS-00080,JNY-00080,negative,Open barriers,-1.2
CUS-00080,JNY-00080,negative,Action plan completion,0.0
CUS-00080,JNY-00080,negative,Vacancies engaged,0.0
CUS-00081,JNY-00081,positive,CV progress,0.504
CUS-00081,JNY-00081,positive,SMS reply rate,0.488
CUS-00081,JNY-00081,positive,Adviser sessions attended,0.35
CUS-00081,JNY-00081,negative,Open barriers,-0.8
CUS-00081,JNY-00081,negative,Sector demand,-0.05
CUS-00081,JNY-00081,negative,Region demand,-0.048
CUS-00082,JNY-00082,positive,SMS reply rate,0.784
CUS-00082,JNY-00082,positive,CV progress,0.765
CUS-00082,JNY-00082,positive,Vacancies engaged,0.32
CUS-00082,JNY-00082,negative,Open barriers,-1.6
CUS-00082,JNY-00082,negative,Region demand,-0.02
CUS-00082,JNY-00082,negative,Adviser sessions attended,0.0
CUS-00083,JNY-00083,positive,SMS reply rate,0.754
CUS-00083,JNY-00083,positive,CV progress,0.7
CUS-00083,JNY-00083,positive,Vacancies engaged,0.48
CUS-00083,JNY-00083,negative,Open barriers,-1.6
CUS-00083,JNY-00083,negative,Region demand,-0.02
CUS-00083,JNY-00083,negative,Action plan completion,0.0
