journey_id,customer_id,adviser_id,region_key,started_date,current_stage,journey_state,success_probability,scenario_band,outcome,days_to_placement,placed_date,sustainability_pct,sms_reply_pct,push_open_pct,plan_completion_3,cv_progress_pct,vacancies_saved,sessions_attended_3,open_barriers
JNY-00043,CUS-00043,ADV-0105,wales,2025-09-16,diagnostic,Failure,10.9,atrisk,Withdrawn,194,2026-03-29,44,20.4,27.2,0,28.5,3,1,3
JNY-00044,CUS-00044,ADV-0010,south-east-london,2026-04-17,diagnostic,Failure,17.1,atrisk,Withdrawn,189,2026-10-23,28,36.1,14.3,1,32.4,0,0,4
JNY-00045,CUS-00045,ADV-0212,north-london,2026-01-12,jobmatch,Failure,12.4,atrisk,Withdrawn,159,2026-06-20,22,34.1,14.2,1,30.3,2,1,3
JNY-00046,CUS-00046,ADV-0020,south-yorkshire,2026-03-19,actionplan,Paused,44.8,drifting,Ongoing,0,1970-01-01,70,64.2,41.7,1,55.8,5,2,0
JNY-00047,CUS-00047,ADV-0018,south-east-london,2025-12-09,insupport,Success,98.5,drifting,Sustained 6mo+,100,2026-03-19,65,51.1,56.2,1,49.7,4,2,2
JNY-00048,CUS-00048,ADV-0148,south-yorkshire,2026-02-03,interview,Progressing,74.1,drifting,Placed - in progress,99,2026-05-13,61,58.9,55.5,2,63.7,5,1,0
JNY-00049,CUS-00049,ADV-0039,south-east-london,2025-09-08,jobmatch,Progressing,72.8,atrisk,Placed - in progress,142,2026-01-28,31,28.2,21.3,0,34.7,1,1,4
JNY-00050,CUS-00050,ADV-0105,wales,2026-03-06,jobmatch,Regressing,55.7,drifting,Ongoing,0,1970-01-01,48,54.2,44.3,1,62.5,2,2,0
JNY-00051,CUS-00051,ADV-0159,south-yorkshire,2026-04-03,diagnostic,Failure,7.5,atrisk,Withdrawn,201,2026-10-21,39,23.1,17.1,0,26.4,0,0,3
JNY-00052,CUS-00052,ADV-0127,south-east-london,2025-11-30,routerCheck,Regressing,14.5,atrisk,Ongoing,0,1970-01-01,26,13.0,19.3,1,11.7,2,1,3
JNY-00053,CUS-00053,ADV-0064,wales,2026-01-18,actionplan,Failure,17.8,atrisk,Placed - dropped,126,2026-05-24,26,23.9,25.3,0,27.9,3,1,4
JNY-00054,CUS-00054,ADV-0218,south-yorkshire,2026-01-03,jobmatch,Failure,28.9,drifting,Placed - dropped,78,2026-03-22,66,51.9,64.2,1,70.7,2,1,0
JNY-00055,CUS-00055,ADV-0070,south-east-london,2025-12-13,skills,Failure,11.5,atrisk,Withdrawn,168,2026-05-30,49,23.1,22.5,0,20.9,2,0,3
JNY-00056,CUS-00056,ADV-0165,north-london,2026-05-11,nudgeFirstDay,Progressing,84.5,drifting,Placed - in progress,92,2026-08-11,62,53.3,64.0,1,54.2,1,1,1
JNY-00057,CUS-00057,ADV-0039,south-east-london,2026-04-11,actionplan,Paused,22.6,atrisk,Ongoing,0,1970-01-01,22,15.9,33.4,0,34.0,2,1,4
JNY-00058,CUS-00058,ADV-0219,south-yorkshire,2025-10-19,diagnostic,Failure,34.2,atrisk,Placed - dropped,115,2026-02-11,34,14.9,15.6,1,23.7,1,0,4
JNY-00059,CUS-00059,ADV-0079,wales,2025-11-29,skills,Stalled,12.6,atrisk,Ongoing,0,1970-01-01,45,22.8,27.6,0,43.2,3,0,4
JNY-00060,CUS-00060,ADV-0190,wales,2025-11-26,insupport,Success,98.7,ontrack,Sustained 6mo+,40,2026-01-05,76,83.1,76.7,3,91.5,8,3,0
JNY-00061,CUS-00061,ADV-0162,derbyshire-notts,2025-10-07,insupport,Success,96.4,ontrack,Sustained 6mo+,45,2025-11-21,78,87.4,91.1,3,97.4,6,2,0
JNY-00062,CUS-00062,ADV-0128,derbyshire-notts,2025-10-30,jobmatch,Progressing,85.9,drifting,Placed - in progress,90,2026-01-28,59,67.1,44.6,1,60.2,2,2,0
JNY-00063,CUS-00063,ADV-0127,south-east-london,2026-03-02,jobmatch,Failure,15.9,atrisk,Withdrawn,161,2026-08-10,35,17.9,18.6,0,15.2,2,0,3
JNY-00064,CUS-00064,ADV-0047,wales,2025-12-25,jobmatch,Failure,14.3,atrisk,Withdrawn,124,2026-04-28,21,32.6,23.1,0,34.8,3,1,3
JNY-00065,CUS-00065,ADV-0165,north-london,2025-12-13,offer,Progressing,74.9,ontrack,Placed - in progress,31,2026-01-13,78,85.1,89.9,3,90.4,7,3,0
JNY-00066,CUS-00066,ADV-0062,south-east-london,2025-10-11,interview,Progressing,75.9,atrisk,Placed - in progress,129,2026-02-17,28,23.8,10.9,1,16.6,2,1,3
JNY-00067,CUS-00067,ADV-0083,south-yorkshire,2026-01-19,diagnostic,Failure,30.9,drifting,Placed - dropped,58,2026-03-18,68,55.0,58.8,1,68.4,4,2,0
JNY-00068,CUS-00068,ADV-0053,north-london,2025-09-19,referral,Failure,10.6,atrisk,Sanctioned referral,187,2026-03-25,41,38.3,13.7,0,34.9,0,1,3
JNY-00069,CUS-00069,ADV-0153,wales,2026-05-19,diagnostic,Failure,23.3,atrisk,Placed - dropped,194,2026-11-29,43,14.3,31.6,1,13.8,3,1,2
JNY-00070,CUS-00070,ADV-0166,wales,2025-12-14,insupport,Success,95.9,ontrack,Sustained 6mo+,37,2026-01-20,83,95.6,76.4,3,86.0,8,2,0
JNY-00071,CUS-00071,ADV-0178,south-yorkshire,2026-04-29,offer,Progressing,84.9,drifting,Placed - in progress,114,2026-08-21,51,47.9,47.2,2,68.3,4,1,1
JNY-00072,CUS-00072,ADV-0034,south-yorkshire,2025-10-18,insupport,Success,98.2,ontrack,Sustained 6mo+,40,2025-11-27,82,97.8,91.9,3,85.4,12,3,0
JNY-00073,CUS-00073,ADV-0152,derbyshire-notts,2025-11-30,actionplan,Paused,36.9,atrisk,Ongoing,0,1970-01-01,41,30.9,24.2,0,25.9,1,1,2
JNY-00074,CUS-00074,ADV-0190,wales,2026-02-03,jobmatch,Failure,11.4,atrisk,Withdrawn,123,2026-06-06,42,39.2,12.4,0,44.1,1,1,3
JNY-00075,CUS-00075,ADV-0081,south-yorkshire,2026-03-09,diagnostic,Failure,25.5,atrisk,Placed - dropped,127,2026-07-14,35,28.6,13.1,0,35.3,2,0,3
JNY-00076,CUS-00076,ADV-0177,wales,2026-02-16,actionplan,Failure,3.0,atrisk,Sanctioned referral,146,2026-07-12,37,33.3,35.0,1,39.6,0,1,4
JNY-00077,CUS-00077,ADV-0083,south-yorkshire,2025-11-06,offer,Progressing,79.7,drifting,Placed - in progress,79,2026-01-24,73,62.4,45.1,2,51.6,5,2,0
JNY-00078,CUS-00078,ADV-0219,south-yorkshire,2025-12-08,actionplan,Paused,16.6,atrisk,Ongoing,0,1970-01-01,29,21.3,9.3,1,40.1,2,0,4
JNY-00079,CUS-00079,ADV-0114,south-east-london,2025-12-14,interview,Progressing,84.7,atrisk,Placed - in progress,155,2026-05-18,41,15.9,27.8,1,44.4,2,1,4
JNY-00080,CUS-00080,ADV-0211,south-east-london,2026-02-05,jobmatch,Regressing,31.8,atrisk,Ongoing,0,1970-01-01,43,21.3,7.5,0,38.6,0,1,3
JNY-00081,CUS-00081,ADV-0161,wales,2025-11-11,interview,Progressing,80.5,atrisk,Placed - in progress,164,2026-04-24,50,24.4,22.7,0,28.0,2,1,2
JNY-00082,CUS-00082,ADV-0051,south-yorkshire,2026-04-24,actionplan,Failure,27.2,atrisk,Placed - dropped,155,2026-09-26,32,39.2,9.0,1,42.5,2,0,4
JNY-00083,CUS-00083,ADV-0005,south-yorkshire,2026-05-15,skills,Failure,17.4,atrisk,Placed - dropped,85,2026-08-08,52,37.7,17.3,0,38.9,3,0,4
JNY-00084,CUS-00084,ADV-0002,derbyshire-notts,2025-10-05,skills,Failure,5.6,atrisk,Withdrawn,204,2026-04-27,20,33.5,19.4,0,35.8,3,1,3
JNY-00085,CUS-00085,ADV-0101,wales,2026-01-09,jobmatch,Failure,22.2,atrisk,Placed - dropped,157,2026-06-15,35,24.3,27.1,0,29.5,3,1,3
JNY-00086,CUS-00086,ADV-0002,derbyshire-notts,2026-01-08,actionplan,Failure,13.5,atrisk,Withdrawn,154,2026-06-11,54,26.9,30.5,0,26.9,2,0,2
JNY-00087,CUS-00087,ADV-0209,wales,2026-01-13,jobmatch,Regressing,36.1,drifting,Ongoing,0,1970-01-01,70,60.2,64.7,2,50.8,3,1,0
JNY-00088,CUS-00088,ADV-0004,south-east-london,2025-12-22,interview,Progressing,89.4,atrisk,Placed - in progress,131,2026-05-02,42,32.6,19.4,0,41.9,1,1,2
JNY-00089,CUS-00089,ADV-0200,south-east-london,2025-11-20,actionplan,Paused,13.9,atrisk,Ongoing,0,1970-01-01,49,14.2,22.5,0,30.2,0,1,3
JNY-00090,CUS-00090,ADV-0026,wales,2025-09-06,actionplan,Paused,20.7,atrisk,Ongoing,0,1970-01-01,44,32.5,24.8,0,13.7,3,1,4
JNY-00091,CUS-00091,ADV-0193,north-london,2026-02-03,diagnostic,Stalled,16.1,atrisk,Ongoing,0,1970-01-01,43,20.8,34.6,0,30.6,3,0,2
JNY-00092,CUS-00092,ADV-0065,south-east-london,2026-02-26,jobmatch,Progressing,89.4,drifting,Placed - in progress,88,2026-05-25,66,59.1,58.6,1,57.9,2,1,0
JNY-00093,CUS-00093,ADV-0019,wales,2026-02-16,offer,Progressing,89.0,drifting,Placed - in progress,114,2026-06-10,72,68.5,58.0,2,67.0,5,1,1
JNY-00094,CUS-00094,ADV-0164,south-east-london,2025-10-09,insupport,Success,98.9,drifting,Sustained 6mo+,103,2026-01-20,64,53.2,64.2,2,72.1,1,1,0
JNY-00095,CUS-00095,ADV-0208,wales,2025-10-17,interview,Progressing,89.1,drifting,Placed - in progress,76,2026-01-01,47,65.5,46.7,2,69.3,1,1,0
JNY-00096,CUS-00096,ADV-0052,wales,2025-12-08,skills,Failure,15.2,atrisk,Withdrawn,189,2026-06-15,36,30.3,11.0,0,25.6,0,1,3
JNY-00097,CUS-00097,ADV-0240,wales,2026-02-23,actionplan,Stalled,41.9,drifting,Ongoing,0,1970-01-01,56,62.6,44.7,1,60.5,1,2,0
JNY-00098,CUS-00098,ADV-0120,wales,2026-04-11,diagnostic,Stalled,54.5,drifting,Ongoing,0,1970-01-01,51,56.7,47.7,1,70.8,2,2,0
JNY-00099,CUS-00099,ADV-0088,north-london,2025-09-22,interview,Progressing,87.3,atrisk,Placed - in progress,154,2026-02-23,23,14.4,17.7,0,29.7,0,1,3
JNY-00100,CUS-00100,ADV-0110,derbyshire-notts,2026-04-01,insupport,Success,97.3,ontrack,Sustained 6mo+,42,2026-05-13,88,89.3,87.5,2,96.6,8,3,0
JNY-00101,CUS-00101,ADV-0231,derbyshire-notts,2026-01-07,jobmatch,Progressing,89.9,ontrack,Placed - in progress,38,2026-02-14,79,97.9,78.0,3,86.9,6,3,0
JNY-00102,CUS-00102,ADV-0172,south-yorkshire,2026-03-23,interview,Progressing,76.1,ontrack,Placed - in progress,41,2026-05-03,77,87.8,94.0,3,82.2,7,3,0
JNY-00103,CUS-00103,ADV-0130,south-east-london,2026-03-27,diagnostic,Failure,28.6,atrisk,Placed - dropped,136,2026-08-10,29,32.2,32.7,1,32.9,2,0,2
JNY-00104,CUS-00104,ADV-0226,derbyshire-notts,2025-12-20,routerCheck,Regressing,34.8,atrisk,Ongoing,0,1970-01-01,27,39.2,22.4,1,13.9,1,0,3
JNY-00105,CUS-00105,ADV-0059,south-east-london,2026-02-01,offer,Progressing,77.7,drifting,Placed - in progress,64,2026-04-06,67,46.9,52.4,1,44.4,3,2,0
JNY-00106,CUS-00106,ADV-0087,south-east-london,2026-04-25,offer,Progressing,72.9,drifting,Placed - in progress,100,2026-08-03,65,56.8,55.2,1,65.6,3,1,0
JNY-00107,CUS-00107,ADV-0235,wales,2025-09-13,referral,Failure,18.1,atrisk,Placed - dropped,93,2025-12-15,47,19.1,23.3,0,24.4,1,0,3
JNY-00108,CUS-00108,ADV-0177,wales,2025-12-20,referral,Failure,31.8,drifting,Placed - dropped,87,2026-03-17,58,58.9,56.7,2,56.7,4,2,0
JNY-00109,CUS-00109,ADV-0226,derbyshire-notts,2026-02-16,nudgeFirstDay,Progressing,80.9,ontrack,Placed - in progress,47,2026-04-04,89,98.0,78.4,3,83.9,6,3,0
JNY-00110,CUS-00110,ADV-0167,wales,2026-01-26,skills,Regressing,14.0,atrisk,Ongoing,0,1970-01-01,40,10.5,32.1,0,18.2,1,0,3
JNY-00111,CUS-00111,ADV-0140,wales,2026-05-01,diagnostic,Stalled,30.3,atrisk,Ongoing,0,1970-01-01,35,10.0,17.0,0,17.1,0,1,2
JNY-00112,CUS-00112,ADV-0164,south-east-london,2025-12-25,jobmatch,Failure,6.7,atrisk,Sanctioned referral,186,2026-06-29,16,10.3,17.0,1,33.9,1,1,4
JNY-00113,CUS-00113,ADV-0036,south-east-london,2025-12-21,jobmatch,Progressing,79.1,atrisk,Placed - in progress,184,2026-06-23,37,29.9,7.5,0,16.1,1,1,4
JNY-00114,CUS-00114,ADV-0006,south-east-london,2025-09-12,nudgeFirstDay,Progressing,87.4,drifting,Placed - in progress,77,2025-11-28,69,60.7,46.7,2,73.6,2,2,0
JNY-00115,CUS-00115,ADV-0009,south-yorkshire,2025-12-26,skills,Failure,10.2,atrisk,Withdrawn,164,2026-06-08,30,30.0,20.5,0,42.9,2,1,4
JNY-00116,CUS-00116,ADV-0081,south-yorkshire,2025-10-27,insupport,Success,98.6,ontrack,Sustained 6mo+,47,2025-12-13,85,88.8,82.5,3,91.1,7,2,0
JNY-00117,CUS-00117,ADV-0246,south-east-london,2025-10-19,actionplan,Stalled,18.4,atrisk,Ongoing,0,1970-01-01,46,33.2,23.3,0,44.7,3,1,4
JNY-00118,CUS-00118,ADV-0062,south-east-london,2025-11-23,nudgeFirstDay,Progressing,75.2,atrisk,Placed - in progress,197,2026-06-08,44,20.9,16.7,1,28.5,1,1,2
JNY-00119,CUS-00119,ADV-0009,south-yorkshire,2025-10-21,jobmatch,Failure,19.0,drifting,Placed - dropped,80,2026-01-09,66,64.2,60.0,1,49.5,1,1,2
JNY-00120,CUS-00120,ADV-0159,south-yorkshire,2026-01-28,actionplan,Failure,15.6,atrisk,Withdrawn,177,2026-07-24,48,16.9,23.6,0,33.5,1,0,4
JNY-00121,CUS-00121,ADV-0055,wales,2026-01-05,skills,Regressing,26.5,atrisk,Ongoing,0,1970-01-01,49,31.6,29.3,0,39.6,3,1,2
JNY-00122,CUS-00122,ADV-0154,north-london,2025-10-23,skills,Paused,12.4,atrisk,Ongoing,0,1970-01-01,41,23.1,11.2,0,16.4,3,0,4
JNY-00123,CUS-00123,ADV-0171,south-yorkshire,2026-04-05,jobmatch,Failure,14.3,atrisk,Withdrawn,147,2026-08-30,36,22.9,12.7,0,36.6,0,1,4
JNY-00124,CUS-00124,ADV-0232,south-east-london,2026-04-03,offer,Progressing,91.3,atrisk,Placed - in progress,81,2026-06-23,43,11.3,13.1,0,21.1,0,0,3
JNY-00125,CUS-00125,ADV-0109,wales,2026-02-11,jobmatch,Failure,18.5,atrisk,Placed - dropped,132,2026-06-23,47,38.7,32.4,0,24.8,1,1,3
JNY-00126,CUS-00126,ADV-0097,north-london,2026-02-03,jobmatch,Progressing,83.2,atrisk,Placed - in progress,149,2026-07-02,24,18.1,18.7,0,44.2,3,1,3
JNY-00127,CUS-00127,ADV-0220,south-yorkshire,2026-04-23,insupport,Success,97.8,ontrack,Sustained 6mo+,53,2026-06-15,87,91.7,93.7,3,95.9,10,3,0
JNY-00128,CUS-00128,ADV-0140,wales,2026-03-02,skills,Regressing,48.5,drifting,Ongoing,0,1970-01-01,62,58.0,56.9,1,44.5,4,2,0
JNY-00129,CUS-00129,ADV-0022,north-london,2026-04-18,insupport,Success,98.2,ontrack,Sustained 6mo+,49,2026-06-06,76,86.3,88.0,3,92.0,12,2,0
JNY-00130,CUS-00130,ADV-0048,derbyshire-notts,2026-01-29,actionplan,Failure,15.5,atrisk,Placed - dropped,176,2026-07-24,26,22.5,23.1,0,33.7,3,1,3
JNY-00131,CUS-00131,ADV-0125,south-yorkshire,2026-02-16,offer,Progressing,73.6,drifting,Placed - in progress,77,2026-05-04,54,45.7,49.7,1,62.0,4,1,1
JNY-00132,CUS-00132,ADV-0015,south-east-london,2025-12-17,diagnostic,Stalled,18.3,atrisk,Ongoing,0,1970-01-01,40,33.4,22.3,0,31.8,3,1,3
JNY-00133,CUS-00133,ADV-0115,south-east-london,2026-02-09,skills,Regressing,35.2,atrisk,Ongoing,0,1970-01-01,27,24.3,14.0,0,23.8,1,1,4
JNY-00134,CUS-00134,ADV-0230,derbyshire-notts,2025-09-24,jobmatch,Failure,4.3,atrisk,Sanctioned referral,107,2026-01-09,54,21.9,16.7,0,37.0,3,1,2
JNY-00135,CUS-00135,ADV-0024,north-london,2026-05-04,jobmatch,Regressing,41.3,drifting,Ongoing,0,1970-01-01,66,52.1,62.5,2,44.5,5,1,1
JNY-00136,CUS-00136,ADV-0091,derbyshire-notts,2026-03-24,jobmatch,Failure,9.6,atrisk,Withdrawn,126,2026-07-28,46,29.9,28.3,0,18.9,0,1,3
JNY-00137,CUS-00137,ADV-0158,derbyshire-notts,2026-02-14,jobmatch,Failure,17.6,atrisk,Withdrawn,96,2026-05-21,37,36.0,22.2,0,21.2,2,0,4
JNY-00138,CUS-00138,ADV-0149,south-yorkshire,2026-05-05,nudgeFirstDay,Progressing,82.9,atrisk,Placed - in progress,162,2026-10-14,31,12.2,24.9,0,34.2,0,0,2
JNY-00139,CUS-00139,ADV-0018,south-east-london,2026-01-25,interview,Progressing,86.6,atrisk,Placed - in progress,152,2026-06-26,47,28.6,31.4,0,27.2,0,1,2
JNY-00140,CUS-00140,ADV-0075,derbyshire-notts,2026-01-12,referral,Failure,17.7,atrisk,Placed - dropped,121,2026-05-13,41,12.9,27.9,1,19.5,3,0,4
JNY-00141,CUS-00141,ADV-0005,south-yorkshire,2026-03-08,jobmatch,Failure,7.8,atrisk,Sanctioned referral,174,2026-08-29,21,18.6,9.8,0,20.7,2,1,3
JNY-00142,CUS-00142,ADV-0073,north-london,2025-10-15,offer,Progressing,83.6,drifting,Placed - in progress,91,2026-01-14,58,47.7,58.7,2,67.0,2,2,0
JNY-00143,CUS-00143,ADV-0146,south-east-london,2026-04-09,actionplan,Failure,7.1,atrisk,Withdrawn,176,2026-10-02,40,14.9,32.6,0,42.8,3,1,3
JNY-00144,CUS-00144,ADV-0188,south-east-london,2025-11-03,skills,Regressing,26.8,atrisk,Ongoing,0,1970-01-01,52,27.3,15.0,1,29.9,0,1,2
JNY-00145,CUS-00145,ADV-0168,north-london,2026-05-18,actionplan,Stalled,22.8,atrisk,Ongoing,0,1970-01-01,49,39.6,33.6,0,17.9,1,1,4
JNY-00146,CUS-00146,ADV-0185,south-east-london,2026-03-06,skills,Regressing,38.1,drifting,Ongoing,0,1970-01-01,49,53.5,45.6,1,60.1,2,2,0
JNY-00147,CUS-00147,ADV-0041,south-east-london,2025-11-15,actionplan,Failure,10.5,atrisk,Withdrawn,174,2026-05-08,21,24.4,30.8,0,26.3,2,1,2
JNY-00148,CUS-00148,ADV-0021,north-london,2026-03-13,skills,Failure,24.2,atrisk,Placed - dropped,114,2026-07-05,51,25.4,17.9,0,10.2,1,1,4
JNY-00149,CUS-00149,ADV-0172,south-yorkshire,2026-04-25,insupport,Success,97.1,drifting,Sustained 6mo+,84,2026-07-18,71,56.1,45.9,2,47.1,1,1,0
JNY-00150,CUS-00150,ADV-0138,south-yorkshire,2025-11-25,jobmatch,Progressing,85.8,atrisk,Placed - in progress,197,2026-06-10,48,29.8,33.8,0,37.2,0,0,4
JNY-00151,CUS-00151,ADV-0192,south-east-london,2026-03-12,jobmatch,Failure,3.9,atrisk,Sanctioned referral,157,2026-08-16,42,10.1,31.6,0,19.0,2,0,4
