adviser_id,tier,sector,barrier,success_rate,sample_size
ADV-0001,mid,Manufacturing,Transport cost,0.577,31
ADV-0001,mid,Manufacturing,Childcare cost,0.714,14
ADV-0001,mid,Manufacturing,Mental health,0.748,27
ADV-0001,mid,Manufacturing,Physical health,0.625,36
ADV-0001,mid,Manufacturing,Digital skills,0.667,16
ADV-0001,mid,Manufacturing,English language,0.615,18
ADV-0001,mid,Manufacturing,Housing instability,0.666,27
ADV-0001,mid,Manufacturing,Criminal record,0.6,16
ADV-0001,mid,Manufacturing,Confidence,0.589,28
ADV-0001,mid,Manufacturing,Caring responsibilities,0.696,7
ADV-0001,mid,Security,Transport cost,0.683,30
ADV-0001,mid,Security,Childcare cost,0.589,18
ADV-0001,mid,Security,Mental health,0.67,7
ADV-0001,mid,Security,Physical health,0.632,29
ADV-0001,mid,Security,Digital skills,0.665,41
ADV-0001,mid,Security,English language,0.585,20
ADV-0001,mid,Security,Housing instability,0.611,8
ADV-0001,mid,Security,Criminal record,0.586,27
ADV-0001,mid,Security,Confidence,0.652,44
ADV-0001,mid,Security,Caring responsibilities,0.673,8
ADV-0001,mid,Other,Transport cost,0.612,13
ADV-0001,mid,Other,Childcare cost,0.68,38
ADV-0001,mid,Other,Mental health,0.723,30
ADV-0001,mid,Other,Physical health,0.625,36
ADV-0001,mid,Other,Digital skills,0.594,22
ADV-0001,mid,Other,English language,0.623,9
ADV-0001,mid,Other,Housing instability,0.654,33
ADV-0001,mid,Other,Criminal record,0.713,14
ADV-0001,mid,Other,Confidence,0.689,24
ADV-0001,mid,Other,Caring responsibilities,0.703,16
ADV-0002,mid,Warehouse / logistics,Transport cost,0.825,23
ADV-0002,mid,Warehouse / logistics,Childcare cost,0.801,26
ADV-0002,mid,Warehouse / logistics,Mental health,0.785,48
ADV-0002,mid,Warehouse / logistics,Physical health,0.809,21
ADV-0002,mid,Warehouse / logistics,Digital skills,0.842,49
ADV-0002,mid,Warehouse / logistics,English language,0.814,27
ADV-0002,mid,Warehouse / logistics,Housing instability,0.864,56
ADV-0002,mid,Warehouse / logistics,Criminal record,0.841,21
ADV-0002,mid,Warehouse / logistics,Confidence,0.763,40
ADV-0002,mid,Warehouse / logistics,Caring responsibilities,0.772,39
ADV-0002,mid,Retail,Transport cost,0.766,66
ADV-0002,mid,Retail,Childcare cost,0.824,22
ADV-0002,mid,Retail,Mental health,0.804,42
ADV-0002,mid,Retail,Physical health,0.803,25
ADV-0002,mid,Retail,Digital skills,0.87,31
ADV-0002,mid,Retail,English language,0.858,40
ADV-0002,mid,Retail,Housing instability,0.877,41
ADV-0002,mid,Retail,Criminal record,0.807,25
ADV-0002,mid,Retail,Confidence,0.875,25
ADV-0002,mid,Retail,Caring responsibilities,0.761,27
ADV-0002,mid,Hospitality,Transport cost,0.921,23
ADV-0002,mid,Hospitality,Childcare cost,0.846,11
ADV-0002,mid,Hospitality,Mental health,0.837,17
ADV-0002,mid,Hospitality,Physical health,0.914,31
ADV-0002,mid,Hospitality,Digital skills,0.865,72
ADV-0002,mid,Hospitality,English language,0.813,40
ADV-0002,mid,Hospitality,Housing instability,0.928,71
ADV-0002,mid,Hospitality,Criminal record,0.938,31
ADV-0002,mid,Hospitality,Confidence,0.934,54
ADV-0002,mid,Hospitality,Caring responsibilities,0.858,26
ADV-0002,mid,Construction,Transport cost,0.853,37
ADV-0002,mid,Construction,Childcare cost,0.854,46
ADV-0002,mid,Construction,Mental health,0.877,26
ADV-0002,mid,Construction,Physical health,0.856,8
ADV-0002,mid,Construction,Digital skills,0.823,41
ADV-0002,mid,Construction,English language,0.819,35
ADV-0002,mid,Construction,Housing instability,0.814,48
ADV-0002,mid,Construction,Criminal record,0.805,33
ADV-0002,mid,Construction,Confidence,0.776,51
ADV-0002,mid,Construction,Caring responsibilities,0.862,51
ADV-0002,mid,Care / health,Transport cost,0.783,34
ADV-0002,mid,Care / health,Childcare cost,0.812,68
ADV-0002,mid,Care / health,Mental health,0.855,48
ADV-0002,mid,Care / health,Physical health,0.828,30
ADV-0002,mid,Care / health,Digital skills,0.808,40
ADV-0002,mid,Care / health,English language,0.759,39
ADV-0002,mid,Care / health,Housing instability,0.777,68
ADV-0002,mid,Care / health,Criminal record,0.758,22
ADV-0002,mid,Care / health,Confidence,0.819,24
ADV-0002,mid,Care / health,Caring responsibilities,0.761,49
ADV-0002,mid,Driving,Transport cost,0.76,72
ADV-0002,mid,Driving,Childcare cost,0.807,39
ADV-0002,mid,Driving,Mental health,0.873,13
ADV-0002,mid,Driving,Physical health,0.816,24
ADV-0002,mid,Driving,Digital skills,0.816,23
ADV-0002,mid,Driving,English language,0.799,25
ADV-0002,mid,Driving,Housing instability,0.82,61
ADV-0002,mid,Driving,Criminal record,0.773,32
ADV-0002,mid,Driving,Confidence,0.841,25
ADV-0002,mid,Driving,Caring responsibilities,0.764,20
ADV-0002,mid,Cleaning / facilities,Transport cost,0.873,18
ADV-0002,mid,Cleaning / facilities,Childcare cost,0.81,22
ADV-0002,mid,Cleaning / facilities,Mental health,0.808,13
ADV-0002,mid,Cleaning / facilities,Physical health,0.757,52
ADV-0002,mid,Cleaning / facilities,Digital skills,0.77,56
ADV-0002,mid,Cleaning / facilities,English language,0.803,70
ADV-0002,mid,Cleaning / facilities,Housing instability,0.772,35
ADV-0002,mid,Cleaning / facilities,Criminal record,0.797,16
ADV-0002,mid,Cleaning / facilities,Confidence,0.799,40
ADV-0002,mid,Cleaning / facilities,Caring responsibilities,0.797,36
ADV-0002,mid,Admin / office,Transport cost,0.822,36
ADV-0002,mid,Admin / office,Childcare cost,0.885,41
ADV-0002,mid,Admin / office,Mental health,0.867,26
ADV-0002,mid,Admin / office,Physical health,0.853,71
ADV-0002,mid,Admin / office,Digital skills,0.813,33
ADV-0002,mid,Admin / office,English language,0.853,23
ADV-0002,mid,Admin / office,Housing instability,0.804,37
ADV-0002,mid,Admin / office,Criminal record,0.853,54
ADV-0002,mid,Admin / office,Confidence,0.798,36
ADV-0002,mid,Admin / office,Caring responsibilities,0.87,32
ADV-0002,mid,Manufacturing,Transport cost,0.763,47
ADV-0002,mid,Manufacturing,Childcare cost,0.886,26
ADV-0002,mid,Manufacturing,Mental health,0.79,56
ADV-0002,mid,Manufacturing,Physical health,0.859,18
ADV-0002,mid,Manufacturing,Digital skills,0.875,26
ADV-0002,mid,Manufacturing,English language,0.801,17
ADV-0002,mid,Manufacturing,Housing instability,0.88,34
ADV-0002,mid,Manufacturing,Criminal record,0.829,68
ADV-0002,mid,Manufacturing,Confidence,0.85,33
ADV-0002,mid,Manufacturing,Caring responsibilities,0.794,64
ADV-0002,mid,Security,Transport cost,0.797,27
ADV-0002,mid,Security,Childcare cost,0.868,50
ADV-0002,mid,Security,Mental health,0.786,21
ADV-0002,mid,Security,Physical health,0.828,34
ADV-0002,mid,Security,Digital skills,0.85,49
ADV-0002,mid,Security,English language,0.827,8
ADV-0002,mid,Security,Housing instability,0.852,5
ADV-0002,mid,Security,Criminal record,0.84,64
ADV-0002,mid,Security,Confidence,0.862,8
ADV-0002,mid,Security,Caring responsibilities,0.788,26
ADV-0002,mid,Other,Transport cost,0.881,46
ADV-0002,mid,Other,Childcare cost,0.876,19
ADV-0002,mid,Other,Mental health,0.78,30
ADV-0002,mid,Other,Physical health,0.891,56
ADV-0002,mid,Other,Digital skills,0.846,29
ADV-0002,mid,Other,English language,0.784,27
ADV-0002,mid,Other,Housing instability,0.869,70
ADV-0002,mid,Other,Criminal record,0.816,68
ADV-0002,mid,Other,Confidence,0.876,78
ADV-0002,mid,Other,Caring responsibilities,0.798,47
ADV-0003,veteran,Warehouse / logistics,Transport cost,0.95,46
ADV-0003,veteran,Warehouse / logistics,Childcare cost,0.95,124
ADV-0003,veteran,Warehouse / logistics,Mental health,0.95,52
ADV-0003,veteran,Warehouse / logistics,Physical health,0.95,110
ADV-0003,veteran,Warehouse / logistics,Digital skills,0.95,27
ADV-0003,veteran,Warehouse / logistics,English language,0.95,26
ADV-0003,veteran,Warehouse / logistics,Housing instability,0.95,39
ADV-0003,veteran,Warehouse / logistics,Criminal record,0.95,79
ADV-0003,veteran,Warehouse / logistics,Confidence,0.95,79
ADV-0003,veteran,Warehouse / logistics,Caring responsibilities,0.95,17
ADV-0003,veteran,Retail,Transport cost,0.95,55
ADV-0003,veteran,Retail,Childcare cost,0.95,66
ADV-0003,veteran,Retail,Mental health,0.95,89
ADV-0003,veteran,Retail,Physical health,0.95,57
ADV-0003,veteran,Retail,Digital skills,0.95,27
ADV-0003,veteran,Retail,English language,0.95,38
ADV-0003,veteran,Retail,Housing instability,0.95,55
ADV-0003,veteran,Retail,Criminal record,0.95,70
ADV-0003,veteran,Retail,Confidence,0.95,27
ADV-0003,veteran,Retail,Caring responsibilities,0.95,72
ADV-0003,veteran,Hospitality,Transport cost,0.95,121
ADV-0003,veteran,Hospitality,Childcare cost,0.95,56
ADV-0003,veteran,Hospitality,Mental health,0.95,81
ADV-0003,veteran,Hospitality,Physical health,0.95,33
ADV-0003,veteran,Hospitality,Digital skills,0.95,135
ADV-0003,veteran,Hospitality,English language,0.95,131
ADV-0003,veteran,Hospitality,Housing instability,0.95,65
ADV-0003,veteran,Hospitality,Criminal record,0.95,25
ADV-0003,veteran,Hospitality,Confidence,0.95,45
ADV-0003,veteran,Hospitality,Caring responsibilities,0.95,38
ADV-0003,veteran,Construction,Transport cost,0.95,69
ADV-0003,veteran,Construction,Childcare cost,0.95,86
ADV-0003,veteran,Construction,Mental health,0.95,38
ADV-0003,veteran,Construction,Physical health,0.95,81
ADV-0003,veteran,Construction,Digital skills,0.95,122
ADV-0003,veteran,Construction,English language,0.95,95
ADV-0003,veteran,Construction,Housing instability,0.95,111
ADV-0003,veteran,Construction,Criminal record,0.95,119
ADV-0003,veteran,Construction,Confidence,0.95,116
ADV-0003,veteran,Construction,Caring responsibilities,0.95,83
ADV-0003,veteran,Care / health,Transport cost,0.95,42
ADV-0003,veteran,Care / health,Childcare cost,0.95,79
ADV-0003,veteran,Care / health,Mental health,0.95,10
ADV-0003,veteran,Care / health,Physical health,0.95,40
ADV-0003,veteran,Care / health,Digital skills,0.95,62
ADV-0003,veteran,Care / health,English language,0.95,65
ADV-0003,veteran,Care / health,Housing instability,0.95,83
ADV-0003,veteran,Care / health,Criminal record,0.95,11
ADV-0003,veteran,Care / health,Confidence,0.95,80
ADV-0003,veteran,Care / health,Caring responsibilities,0.95,99
ADV-0003,veteran,Driving,Transport cost,0.95,62
ADV-0003,veteran,Driving,Childcare cost,0.95,125
ADV-0003,veteran,Driving,Mental health,0.95,70
ADV-0003,veteran,Driving,Physical health,0.95,81
ADV-0003,veteran,Driving,Digital skills,0.95,71
ADV-0003,veteran,Driving,English language,0.95,49
ADV-0003,veteran,Driving,Housing instability,0.95,55
ADV-0003,veteran,Driving,Criminal record,0.95,56
ADV-0003,veteran,Driving,Confidence,0.95,66
ADV-0003,veteran,Driving,Caring responsibilities,0.95,39
ADV-0003,veteran,Cleaning / facilities,Transport cost,0.95,75
ADV-0003,veteran,Cleaning / facilities,Childcare cost,0.95,26
ADV-0003,veteran,Cleaning / facilities,Mental health,0.95,74
ADV-0003,veteran,Cleaning / facilities,Physical health,0.95,60
ADV-0003,veteran,Cleaning / facilities,Digital skills,0.95,98
ADV-0003,veteran,Cleaning / facilities,English language,0.95,66
ADV-0003,veteran,Cleaning / facilities,Housing instability,0.95,58
ADV-0003,veteran,Cleaning / facilities,Criminal record,0.95,57
ADV-0003,veteran,Cleaning / facilities,Confidence,0.95,42
ADV-0003,veteran,Cleaning / facilities,Caring responsibilities,0.95,72
ADV-0003,veteran,Admin / office,Transport cost,0.95,8
ADV-0003,veteran,Admin / office,Childcare cost,0.95,76
ADV-0003,veteran,Admin / office,Mental health,0.95,135
ADV-0003,veteran,Admin / office,Physical health,0.95,14
ADV-0003,veteran,Admin / office,Digital skills,0.95,14
ADV-0003,veteran,Admin / office,English language,0.95,125
ADV-0003,veteran,Admin / office,Housing instability,0.95,84
ADV-0003,veteran,Admin / office,Criminal record,0.95,103
ADV-0003,veteran,Admin / office,Confidence,0.95,84
ADV-0003,veteran,Admin / office,Caring responsibilities,0.95,27
ADV-0003,veteran,Manufacturing,Transport cost,0.95,25
ADV-0003,veteran,Manufacturing,Childcare cost,0.95,17
ADV-0003,veteran,Manufacturing,Mental health,0.95,30
ADV-0003,veteran,Manufacturing,Physical health,0.95,87
ADV-0003,veteran,Manufacturing,Digital skills,0.95,32
ADV-0003,veteran,Manufacturing,English language,0.95,33
ADV-0003,veteran,Manufacturing,Housing instability,0.95,101
ADV-0003,veteran,Manufacturing,Criminal record,0.95,56
ADV-0003,veteran,Manufacturing,Confidence,0.95,94
ADV-0003,veteran,Manufacturing,Caring responsibilities,0.95,46
ADV-0003,veteran,Security,Transport cost,0.95,126
ADV-0003,veteran,Security,Childcare cost,0.95,139
ADV-0003,veteran,Security,Mental health,0.95,113
ADV-0003,veteran,Security,Physical health,0.95,127
ADV-0003,veteran,Security,Digital skills,0.95,94
ADV-0003,veteran,Security,English language,0.95,52
ADV-0003,veteran,Security,Housing instability,0.95,48
ADV-0003,veteran,Security,Criminal record,0.95,74
ADV-0003,veteran,Security,Confidence,0.95,111
ADV-0003,veteran,Security,Caring responsibilities,0.95,18
ADV-0003,veteran,Other,Transport cost,0.95,89
ADV-0003,veteran,Other,Childcare cost,0.95,72
ADV-0003,veteran,Other,Mental health,0.95,60
ADV-0003,veteran,Other,Physical health,0.95,70
ADV-0003,veteran,Other,Digital skills,0.95,56
ADV-0003,veteran,Other,English language,0.95,50
ADV-0003,veteran,Other,Housing instability,0.95,11
ADV-0003,veteran,Other,Criminal record,0.95,137
ADV-0003,veteran,Other,Confidence,0.95,132
ADV-0003,veteran,Other,Caring responsibilities,0.95,80
ADV-0004,mid,Warehouse / logistics,Transport cost,0.79,53
ADV-0004,mid,Warehouse / logistics,Childcare cost,0.681,43
ADV-0004,mid,Warehouse / logistics,Mental health,0.739,44
ADV-0004,mid,Warehouse / logistics,Physical health,0.818,9
ADV-0004,mid,Warehouse / logistics,Digital skills,0.781,40
ADV-0004,mid,Warehouse / logistics,English language,0.79,20
ADV-0004,mid,Warehouse / logistics,Housing instability,0.713,22
ADV-0004,mid,Warehouse / logistics,Criminal record,0.74,35
ADV-0004,mid,Warehouse / logistics,Confidence,0.776,44
ADV-0004,mid,Warehouse / logistics,Caring responsibilities,0.802,22
ADV-0004,mid,Retail,Transport cost,0.776,28
ADV-0004,mid,Retail,Childcare cost,0.783,29
ADV-0004,mid,Retail,Mental health,0.726,20
ADV-0004,mid,Retail,Physical health,0.704,26
ADV-0004,mid,Retail,Digital skills,0.788,38
ADV-0004,mid,Retail,English language,0.684,36
ADV-0004,mid,Retail,Housing instability,0.728,5
ADV-0004,mid,Retail,Criminal record,0.753,25
ADV-0004,mid,Retail,Confidence,0.751,23
ADV-0004,mid,Retail,Caring responsibilities,0.808,32
ADV-0004,mid,Hospitality,Transport cost,0.777,33
ADV-0004,mid,Hospitality,Childcare cost,0.813,25
ADV-0004,mid,Hospitality,Mental health,0.756,15
ADV-0004,mid,Hospitality,Physical health,0.727,22
ADV-0004,mid,Hospitality,Digital skills,0.754,31
ADV-0004,mid,Hospitality,English language,0.791,35
ADV-0004,mid,Hospitality,Housing instability,0.746,41
ADV-0004,mid,Hospitality,Criminal record,0.727,14
ADV-0004,mid,Hospitality,Confidence,0.774,31
ADV-0004,mid,Hospitality,Caring responsibilities,0.782,29
ADV-0004,mid,Construction,Transport cost,0.869,17
ADV-0004,mid,Construction,Childcare cost,0.867,48
ADV-0004,mid,Construction,Mental health,0.768,50
ADV-0004,mid,Construction,Physical health,0.747,38
ADV-0004,mid,Construction,Digital skills,0.793,31
ADV-0004,mid,Construction,English language,0.821,37
ADV-0004,mid,Construction,Housing instability,0.751,42
ADV-0004,mid,Construction,Criminal record,0.743,18
ADV-0004,mid,Construction,Confidence,0.857,70
ADV-0004,mid,Construction,Caring responsibilities,0.832,31
ADV-0004,mid,Care / health,Transport cost,0.733,17
ADV-0004,mid,Care / health,Childcare cost,0.693,17
ADV-0004,mid,Care / health,Mental health,0.708,36
ADV-0004,mid,Care / health,Physical health,0.798,52
ADV-0004,mid,Care / health,Digital skills,0.691,20
ADV-0004,mid,Care / health,English language,0.723,28
ADV-0004,mid,Care / health,Housing instability,0.804,30
ADV-0004,mid,Care / health,Criminal record,0.685,66
ADV-0004,mid,Care / health,Confidence,0.703,34
ADV-0004,mid,Care / health,Caring responsibilities,0.773,52
ADV-0004,mid,Driving,Transport cost,0.719,52
ADV-0004,mid,Driving,Childcare cost,0.768,18
ADV-0004,mid,Driving,Mental health,0.709,29
ADV-0004,mid,Driving,Physical health,0.728,56
ADV-0004,mid,Driving,Digital skills,0.779,28
ADV-0004,mid,Driving,English language,0.773,14
ADV-0004,mid,Driving,Housing instability,0.692,54
ADV-0004,mid,Driving,Criminal record,0.779,50
ADV-0004,mid,Driving,Confidence,0.73,16
ADV-0004,mid,Driving,Caring responsibilities,0.689,22
ADV-0004,mid,Cleaning / facilities,Transport cost,0.678,23
ADV-0004,mid,Cleaning / facilities,Childcare cost,0.727,17
ADV-0004,mid,Cleaning / facilities,Mental health,0.794,30
ADV-0004,mid,Cleaning / facilities,Physical health,0.813,21
ADV-0004,mid,Cleaning / facilities,Digital skills,0.707,45
ADV-0004,mid,Cleaning / facilities,English language,0.778,32
ADV-0004,mid,Cleaning / facilities,Housing instability,0.747,73
ADV-0004,mid,Cleaning / facilities,Criminal record,0.729,57
ADV-0004,mid,Cleaning / facilities,Confidence,0.783,21
ADV-0004,mid,Cleaning / facilities,Caring responsibilities,0.759,24
ADV-0004,mid,Admin / office,Transport cost,0.802,55
ADV-0004,mid,Admin / office,Childcare cost,0.78,33
ADV-0004,mid,Admin / office,Mental health,0.757,3
ADV-0004,mid,Admin / office,Physical health,0.718,42
ADV-0004,mid,Admin / office,Digital skills,0.796,34
ADV-0004,mid,Admin / office,English language,0.7,38
ADV-0004,mid,Admin / office,Housing instability,0.774,40
ADV-0004,mid,Admin / office,Criminal record,0.734,44
ADV-0004,mid,Admin / office,Confidence,0.757,44
ADV-0004,mid,Admin / office,Caring responsibilities,0.687,26
ADV-0004,mid,Manufacturing,Transport cost,0.785,21
ADV-0004,mid,Manufacturing,Childcare cost,0.804,24
ADV-0004,mid,Manufacturing,Mental health,0.768,43
ADV-0004,mid,Manufacturing,Physical health,0.802,17
ADV-0004,mid,Manufacturing,Digital skills,0.811,39
ADV-0004,mid,Manufacturing,English language,0.772,39
ADV-0004,mid,Manufacturing,Housing instability,0.679,27
ADV-0004,mid,Manufacturing,Criminal record,0.685,21
ADV-0004,mid,Manufacturing,Confidence,0.734,17
ADV-0004,mid,Manufacturing,Caring responsibilities,0.762,17
ADV-0004,mid,Security,Transport cost,0.779,8
ADV-0004,mid,Security,Childcare cost,0.793,32
ADV-0004,mid,Security,Mental health,0.722,35
ADV-0004,mid,Security,Physical health,0.731,22
ADV-0004,mid,Security,Digital skills,0.759,43
ADV-0004,mid,Security,English language,0.798,19
ADV-0004,mid,Security,Housing instability,0.721,65
ADV-0004,mid,Security,Criminal record,0.7,38
ADV-0004,mid,Security,Confidence,0.723,30
ADV-0004,mid,Security,Caring responsibilities,0.75,50
ADV-0004,mid,Other,Transport cost,0.69,47
ADV-0004,mid,Other,Childcare cost,0.692,40
ADV-0004,mid,Other,Mental health,0.709,16
ADV-0004,mid,Other,Physical health,0.688,42
ADV-0004,mid,Other,Digital skills,0.785,46
ADV-0004,mid,Other,English language,0.738,38
ADV-0004,mid,Other,Housing instability,0.703,38
ADV-0004,mid,Other,Criminal record,0.718,38
ADV-0004,mid,Other,Confidence,0.723,26
ADV-0004,mid,Other,Caring responsibilities,0.691,52
ADV-0005,mid,Warehouse / logistics,Transport cost,0.63,15
ADV-0005,mid,Warehouse / logistics,Childcare cost,0.684,12
ADV-0005,mid,Warehouse / logistics,Mental health,0.645,27
ADV-0005,mid,Warehouse / logistics,Physical health,0.61,14
ADV-0005,mid,Warehouse / logistics,Digital skills,0.672,8
ADV-0005,mid,Warehouse / logistics,English language,0.675,32
ADV-0005,mid,Warehouse / logistics,Housing instability,0.714,15
ADV-0005,mid,Warehouse / logistics,Criminal record,0.613,22
ADV-0005,mid,Warehouse / logistics,Confidence,0.671,26
ADV-0005,mid,Warehouse / logistics,Caring responsibilities,0.666,12
ADV-0005,mid,Retail,Transport cost,0.699,18
ADV-0005,mid,Retail,Childcare cost,0.719,32
ADV-0005,mid,Retail,Mental health,0.614,22
ADV-0005,mid,Retail,Physical health,0.671,16
ADV-0005,mid,Retail,Digital skills,0.71,38
ADV-0005,mid,Retail,English language,0.632,14
ADV-0005,mid,Retail,Housing instability,0.696,14
ADV-0005,mid,Retail,Criminal record,0.623,27
ADV-0005,mid,Retail,Confidence,0.634,15
ADV-0005,mid,Retail,Caring responsibilities,0.713,14
ADV-0005,mid,Hospitality,Transport cost,0.69,20
ADV-0005,mid,Hospitality,Childcare cost,0.649,25
ADV-0005,mid,Hospitality,Mental health,0.659,19
ADV-0005,mid,Hospitality,Physical health,0.629,22
ADV-0005,mid,Hospitality,Digital skills,0.72,8
ADV-0005,mid,Hospitality,English language,0.688,31
ADV-0005,mid,Hospitality,Housing instability,0.658,26
ADV-0005,mid,Hospitality,Criminal record,0.624,33
ADV-0005,mid,Hospitality,Confidence,0.664,39
ADV-0005,mid,Hospitality,Caring responsibilities,0.68,16
ADV-0005,mid,Construction,Transport cost,0.607,13
ADV-0005,mid,Construction,Childcare cost,0.653,25
ADV-0005,mid,Construction,Mental health,0.71,37
ADV-0005,mid,Construction,Physical health,0.671,13
ADV-0005,mid,Construction,Digital skills,0.663,21
ADV-0005,mid,Construction,English language,0.659,7
ADV-0005,mid,Construction,Housing instability,0.673,40
ADV-0005,mid,Construction,Criminal record,0.653,17
ADV-0005,mid,Construction,Confidence,0.658,15
ADV-0005,mid,Construction,Caring responsibilities,0.687,26
ADV-0005,mid,Care / health,Transport cost,0.667,45
ADV-0005,mid,Care / health,Childcare cost,0.63,14
ADV-0005,mid,Care / health,Mental health,0.687,26
ADV-0005,mid,Care / health,Physical health,0.672,26
ADV-0005,mid,Care / health,Digital skills,0.726,21
ADV-0005,mid,Care / health,English language,0.63,15
ADV-0005,mid,Care / health,Housing instability,0.683,23
ADV-0005,mid,Care / health,Criminal record,0.656,21
ADV-0005,mid,Care / health,Confidence,0.665,12
ADV-0005,mid,Care / health,Caring responsibilities,0.651,15
ADV-0005,mid,Driving,Transport cost,0.65,15
ADV-0005,mid,Driving,Childcare cost,0.632,12
ADV-0005,mid,Driving,Mental health,0.623,5
ADV-0005,mid,Driving,Physical health,0.614,38
ADV-0005,mid,Driving,Digital skills,0.621,4
ADV-0005,mid,Driving,English language,0.669,20
ADV-0005,mid,Driving,Housing instability,0.709,23
ADV-0005,mid,Driving,Criminal record,0.605,38
ADV-0005,mid,Driving,Confidence,0.638,23
ADV-0005,mid,Driving,Caring responsibilities,0.604,26
ADV-0005,mid,Cleaning / facilities,Transport cost,0.641,22
ADV-0005,mid,Cleaning / facilities,Childcare cost,0.699,15
ADV-0005,mid,Cleaning / facilities,Mental health,0.675,19
ADV-0005,mid,Cleaning / facilities,Physical health,0.59,14
