router_score_id,journey_id,customer_id,adviser_id,region_key,check_type,score,band,action_taken,score_date
RTR-JNY-00049-end,JNY-00049,CUS-00049,ADV-0039,south-east-london,end_of_journey,44,AT_RISK,training_update_applied,2026-01-06
RTR-JNY-00050-mid,JNY-00050,CUS-00050,ADV-0105,wales,mid_journey,55,DRIFTING,in_person_48h,2026-04-05
RTR-JNY-00051-mid,JNY-00051,CUS-00051,ADV-0159,south-yorkshire,mid_journey,14,AT_RISK,call_today_mh_referral,2026-05-03
RTR-JNY-00052-mid,JNY-00052,CUS-00052,ADV-0127,south-east-london,mid_journey,23,AT_RISK,call_today_mh_referral,2025-12-30
RTR-JNY-00053-mid,JNY-00053,CUS-00053,ADV-0064,wales,mid_journey,23,AT_RISK,call_today_mh_referral,2026-02-17
RTR-JNY-00053-end,JNY-00053,CUS-00053,ADV-0064,wales,end_of_journey,42,AT_RISK,training_update_applied,2026-05-18
RTR-JNY-00054-mid,JNY-00054,CUS-00054,ADV-0218,south-yorkshire,mid_journey,54,DRIFTING,in_person_48h,2026-02-02
RTR-JNY-00054-end,JNY-00054,CUS-00054,ADV-0218,south-yorkshire,end_of_journey,66,DRIFTING,training_update_applied,2026-05-03
RTR-JNY-00055-mid,JNY-00055,CUS-00055,ADV-0070,south-east-london,mid_journey,17,AT_RISK,call_today_mh_referral,2026-01-12
RTR-JNY-00056-mid,JNY-00056,CUS-00056,ADV-0165,north-london,mid_journey,48,AT_RISK,call_today_mh_referral,2026-06-10
RTR-JNY-00056-end,JNY-00056,CUS-00056,ADV-0165,north-london,end_of_journey,67,DRIFTING,training_update_applied,2026-09-08
RTR-JNY-00057-mid,JNY-00057,CUS-00057,ADV-0039,south-east-london,mid_journey,22,AT_RISK,call_today_mh_referral,2026-05-11
RTR-JNY-00058-mid,JNY-00058,CUS-00058,ADV-0219,south-yorkshire,mid_journey,16,AT_RISK,call_today_mh_referral,2025-11-18
RTR-JNY-00058-end,JNY-00058,CUS-00058,ADV-0219,south-yorkshire,end_of_journey,35,AT_RISK,training_update_applied,2026-02-16
RTR-JNY-00059-mid,JNY-00059,CUS-00059,ADV-0079,wales,mid_journey,20,AT_RISK,call_today_mh_referral,2025-12-29
RTR-JNY-00060-mid,JNY-00060,CUS-00060,ADV-0190,wales,mid_journey,92,ON_TRACK,light_touch,2025-12-26
RTR-JNY-00060-end,JNY-00060,CUS-00060,ADV-0190,wales,end_of_journey,95,ON_TRACK,training_update_applied,2026-03-26
RTR-JNY-00061-mid,JNY-00061,CUS-00061,ADV-0162,derbyshire-notts,mid_journey,91,ON_TRACK,light_touch,2025-11-06
RTR-JNY-00061-end,JNY-00061,CUS-00061,ADV-0162,derbyshire-notts,end_of_journey,100,ON_TRACK,training_update_applied,2026-02-04
RTR-JNY-00062-mid,JNY-00062,CUS-00062,ADV-0128,derbyshire-notts,mid_journey,57,DRIFTING,in_person_48h,2025-11-29
RTR-JNY-00062-end,JNY-00062,CUS-00062,ADV-0128,derbyshire-notts,end_of_journey,69,DRIFTING,training_update_applied,2026-02-27
RTR-JNY-00063-mid,JNY-00063,CUS-00063,ADV-0127,south-east-london,mid_journey,14,AT_RISK,call_today_mh_referral,2026-04-01
RTR-JNY-00064-mid,JNY-00064,CUS-00064,ADV-0047,wales,mid_journey,28,AT_RISK,call_today_mh_referral,2026-01-24
RTR-JNY-00065-mid,JNY-00065,CUS-00065,ADV-0165,north-london,mid_journey,94,ON_TRACK,light_touch,2026-01-12
RTR-JNY-00065-end,JNY-00065,CUS-00065,ADV-0165,north-london,end_of_journey,100,ON_TRACK,training_update_applied,2026-04-12
RTR-JNY-00066-mid,JNY-00066,CUS-00066,ADV-0062,south-east-london,mid_journey,25,AT_RISK,call_today_mh_referral,2025-11-10
RTR-JNY-00066-end,JNY-00066,CUS-00066,ADV-0062,south-east-london,end_of_journey,44,AT_RISK,training_update_applied,2026-02-08
RTR-JNY-00067-mid,JNY-00067,CUS-00067,ADV-0083,south-yorkshire,mid_journey,62,DRIFTING,in_person_48h,2026-02-18
RTR-JNY-00067-end,JNY-00067,CUS-00067,ADV-0083,south-yorkshire,end_of_journey,76,ON_TRACK,training_update_applied,2026-05-19
RTR-JNY-00068-mid,JNY-00068,CUS-00068,ADV-0053,north-london,mid_journey,22,AT_RISK,call_today_mh_referral,2025-10-19
RTR-JNY-00069-mid,JNY-00069,CUS-00069,ADV-0153,wales,mid_journey,30,AT_RISK,call_today_mh_referral,2026-06-18
RTR-JNY-00069-end,JNY-00069,CUS-00069,ADV-0153,wales,end_of_journey,49,AT_RISK,training_update_applied,2026-09-16
RTR-JNY-00070-mid,JNY-00070,CUS-00070,ADV-0166,wales,mid_journey,88,ON_TRACK,light_touch,2026-01-13
RTR-JNY-00070-end,JNY-00070,CUS-00070,ADV-0166,wales,end_of_journey,96,ON_TRACK,training_update_applied,2026-04-13
RTR-JNY-00071-mid,JNY-00071,CUS-00071,ADV-0178,south-yorkshire,mid_journey,56,DRIFTING,in_person_48h,2026-05-29
RTR-JNY-00071-end,JNY-00071,CUS-00071,ADV-0178,south-yorkshire,end_of_journey,67,DRIFTING,training_update_applied,2026-08-27
RTR-JNY-00072-mid,JNY-00072,CUS-00072,ADV-0034,south-yorkshire,mid_journey,96,ON_TRACK,light_touch,2025-11-17
RTR-JNY-00072-end,JNY-00072,CUS-00072,ADV-0034,south-yorkshire,end_of_journey,100,ON_TRACK,training_update_applied,2026-02-15
RTR-JNY-00073-mid,JNY-00073,CUS-00073,ADV-0152,derbyshire-notts,mid_journey,25,AT_RISK,call_today_mh_referral,2025-12-30
RTR-JNY-00074-mid,JNY-00074,CUS-00074,ADV-0190,wales,mid_journey,25,AT_RISK,call_today_mh_referral,2026-03-05
RTR-JNY-00075-mid,JNY-00075,CUS-00075,ADV-0081,south-yorkshire,mid_journey,19,AT_RISK,call_today_mh_referral,2026-04-08
RTR-JNY-00075-end,JNY-00075,CUS-00075,ADV-0081,south-yorkshire,end_of_journey,34,AT_RISK,training_update_applied,2026-07-07
RTR-JNY-00076-mid,JNY-00076,CUS-00076,ADV-0177,wales,mid_journey,28,AT_RISK,call_today_mh_referral,2026-03-18
RTR-JNY-00077-mid,JNY-00077,CUS-00077,ADV-0083,south-yorkshire,mid_journey,65,DRIFTING,in_person_48h,2025-12-06
RTR-JNY-00077-end,JNY-00077,CUS-00077,ADV-0083,south-yorkshire,end_of_journey,79,ON_TRACK,training_update_applied,2026-03-06
RTR-JNY-00078-mid,JNY-00078,CUS-00078,ADV-0219,south-yorkshire,mid_journey,20,AT_RISK,call_today_mh_referral,2026-01-07
RTR-JNY-00079-mid,JNY-00079,CUS-00079,ADV-0114,south-east-london,mid_journey,27,AT_RISK,call_today_mh_referral,2026-01-13
RTR-JNY-00079-end,JNY-00079,CUS-00079,ADV-0114,south-east-london,end_of_journey,47,AT_RISK,training_update_applied,2026-04-13
RTR-JNY-00080-mid,JNY-00080,CUS-00080,ADV-0211,south-east-london,mid_journey,19,AT_RISK,call_today_mh_referral,2026-03-07
RTR-JNY-00081-mid,JNY-00081,CUS-00081,ADV-0161,wales,mid_journey,26,AT_RISK,call_today_mh_referral,2025-12-11
RTR-JNY-00081-end,JNY-00081,CUS-00081,ADV-0161,wales,end_of_journey,49,AT_RISK,training_update_applied,2026-03-11
RTR-JNY-00082-mid,JNY-00082,CUS-00082,ADV-0051,south-yorkshire,mid_journey,24,AT_RISK,call_today_mh_referral,2026-05-24
RTR-JNY-00082-end,JNY-00082,CUS-00082,ADV-0051,south-yorkshire,end_of_journey,44,AT_RISK,training_update_applied,2026-08-22
RTR-JNY-00083-mid,JNY-00083,CUS-00083,ADV-0005,south-yorkshire,mid_journey,21,AT_RISK,call_today_mh_referral,2026-06-14
RTR-JNY-00083-end,JNY-00083,CUS-00083,ADV-0005,south-yorkshire,end_of_journey,43,AT_RISK,training_update_applied,2026-09-12
RTR-JNY-00084-mid,JNY-00084,CUS-00084,ADV-0002,derbyshire-notts,mid_journey,27,AT_RISK,call_today_mh_referral,2025-11-04
RTR-JNY-00085-mid,JNY-00085,CUS-00085,ADV-0101,wales,mid_journey,26,AT_RISK,call_today_mh_referral,2026-02-08
RTR-JNY-00085-end,JNY-00085,CUS-00085,ADV-0101,wales,end_of_journey,42,AT_RISK,training_update_applied,2026-05-09
RTR-JNY-00086-mid,JNY-00086,CUS-00086,ADV-0002,derbyshire-notts,mid_journey,22,AT_RISK,call_today_mh_referral,2026-02-07
RTR-JNY-00087-mid,JNY-00087,CUS-00087,ADV-0209,wales,mid_journey,59,DRIFTING,in_person_48h,2026-02-12
RTR-JNY-00088-mid,JNY-00088,CUS-00088,ADV-0004,south-east-london,mid_journey,27,AT_RISK,call_today_mh_referral,2026-01-21
RTR-JNY-00088-end,JNY-00088,CUS-00088,ADV-0004,south-east-london,end_of_journey,43,AT_RISK,training_update_applied,2026-04-21
RTR-JNY-00089-mid,JNY-00089,CUS-00089,ADV-0200,south-east-london,mid_journey,18,AT_RISK,call_today_mh_referral,2025-12-20
RTR-JNY-00090-mid,JNY-00090,CUS-00090,ADV-0026,wales,mid_journey,22,AT_RISK,call_today_mh_referral,2025-10-06
RTR-JNY-00091-mid,JNY-00091,CUS-00091,ADV-0193,north-london,mid_journey,24,AT_RISK,call_today_mh_referral,2026-03-05
RTR-JNY-00092-mid,JNY-00092,CUS-00092,ADV-0065,south-east-london,mid_journey,53,DRIFTING,in_person_48h,2026-03-28
RTR-JNY-00092-end,JNY-00092,CUS-00092,ADV-0065,south-east-london,end_of_journey,67,DRIFTING,training_update_applied,2026-06-26
RTR-JNY-00093-mid,JNY-00093,CUS-00093,ADV-0019,wales,mid_journey,63,DRIFTING,in_person_48h,2026-03-18
RTR-JNY-00093-end,JNY-00093,CUS-00093,ADV-0019,wales,end_of_journey,74,DRIFTING,training_update_applied,2026-06-16
RTR-JNY-00094-mid,JNY-00094,CUS-00094,ADV-0164,south-east-london,mid_journey,58,DRIFTING,in_person_48h,2025-11-08
RTR-JNY-00094-end,JNY-00094,CUS-00094,ADV-0164,south-east-london,end_of_journey,68,DRIFTING,training_update_applied,2026-02-06
RTR-JNY-00095-mid,JNY-00095,CUS-00095,ADV-0208,wales,mid_journey,57,DRIFTING,in_person_48h,2025-11-16
RTR-JNY-00095-end,JNY-00095,CUS-00095,ADV-0208,wales,end_of_journey,69,DRIFTING,training_update_applied,2026-02-14
RTR-JNY-00096-mid,JNY-00096,CUS-00096,ADV-0052,wales,mid_journey,19,AT_RISK,call_today_mh_referral,2026-01-07
RTR-JNY-00097-mid,JNY-00097,CUS-00097,ADV-0240,wales,mid_journey,55,DRIFTING,in_person_48h,2026-03-25
RTR-JNY-00098-mid,JNY-00098,CUS-00098,ADV-0120,wales,mid_journey,57,DRIFTING,in_person_48h,2026-05-11
RTR-JNY-00099-mid,JNY-00099,CUS-00099,ADV-0088,north-london,mid_journey,17,AT_RISK,call_today_mh_referral,2025-10-22
RTR-JNY-00099-end,JNY-00099,CUS-00099,ADV-0088,north-london,end_of_journey,38,AT_RISK,training_update_applied,2026-01-20
RTR-JNY-00100-mid,JNY-00100,CUS-00100,ADV-0110,derbyshire-notts,mid_journey,90,ON_TRACK,light_touch,2026-05-01
RTR-JNY-00100-end,JNY-00100,CUS-00100,ADV-0110,derbyshire-notts,end_of_journey,99,ON_TRACK,training_update_applied,2026-07-30
RTR-JNY-00101-mid,JNY-00101,CUS-00101,ADV-0231,derbyshire-notts,mid_journey,94,ON_TRACK,light_touch,2026-02-06
RTR-JNY-00101-end,JNY-00101,CUS-00101,ADV-0231,derbyshire-notts,end_of_journey,99,ON_TRACK,training_update_applied,2026-05-07
RTR-JNY-00102-mid,JNY-00102,CUS-00102,ADV-0172,south-yorkshire,mid_journey,94,ON_TRACK,light_touch,2026-04-22
RTR-JNY-00102-end,JNY-00102,CUS-00102,ADV-0172,south-yorkshire,end_of_journey,100,ON_TRACK,training_update_applied,2026-07-21
RTR-JNY-00103-mid,JNY-00103,CUS-00103,ADV-0130,south-east-london,mid_journey,30,AT_RISK,call_today_mh_referral,2026-04-26
RTR-JNY-00103-end,JNY-00103,CUS-00103,ADV-0130,south-east-london,end_of_journey,47,AT_RISK,training_update_applied,2026-07-25
RTR-JNY-00104-mid,JNY-00104,CUS-00104,ADV-0226,derbyshire-notts,mid_journey,22,AT_RISK,call_today_mh_referral,2026-01-19
RTR-JNY-00105-mid,JNY-00105,CUS-00105,ADV-0059,south-east-london,mid_journey,54,DRIFTING,in_person_48h,2026-03-03
RTR-JNY-00105-end,JNY-00105,CUS-00105,ADV-0059,south-east-london,end_of_journey,65,DRIFTING,training_update_applied,2026-06-01
RTR-JNY-00106-mid,JNY-00106,CUS-00106,ADV-0087,south-east-london,mid_journey,54,DRIFTING,in_person_48h,2026-05-25
RTR-JNY-00106-end,JNY-00106,CUS-00106,ADV-0087,south-east-london,end_of_journey,66,DRIFTING,training_update_applied,2026-08-23
RTR-JNY-00107-mid,JNY-00107,CUS-00107,ADV-0235,wales,mid_journey,15,AT_RISK,call_today_mh_referral,2025-10-13
RTR-JNY-00107-end,JNY-00107,CUS-00107,ADV-0235,wales,end_of_journey,34,AT_RISK,training_update_applied,2026-01-11
RTR-JNY-00108-mid,JNY-00108,CUS-00108,ADV-0177,wales,mid_journey,65,DRIFTING,in_person_48h,2026-01-19
RTR-JNY-00108-end,JNY-00108,CUS-00108,ADV-0177,wales,end_of_journey,78,ON_TRACK,training_update_applied,2026-04-19
RTR-JNY-00109-mid,JNY-00109,CUS-00109,ADV-0226,derbyshire-notts,mid_journey,94,ON_TRACK,light_touch,2026-03-18
RTR-JNY-00109-end,JNY-00109,CUS-00109,ADV-0226,derbyshire-notts,end_of_journey,100,ON_TRACK,training_update_applied,2026-06-16
RTR-JNY-00110-mid,JNY-00110,CUS-00110,ADV-0167,wales,mid_journey,14,AT_RISK,call_today_mh_referral,2026-02-25
RTR-JNY-00111-mid,JNY-00111,CUS-00111,ADV-0140,wales,mid_journey,17,AT_RISK,call_today_mh_referral,2026-05-31
RTR-JNY-00112-mid,JNY-00112,CUS-00112,ADV-0164,south-east-london,mid_journey,21,AT_RISK,call_today_mh_referral,2026-01-24
RTR-JNY-00113-mid,JNY-00113,CUS-00113,ADV-0036,south-east-london,mid_journey,16,AT_RISK,call_today_mh_referral,2026-01-20
RTR-JNY-00113-end,JNY-00113,CUS-00113,ADV-0036,south-east-london,end_of_journey,33,AT_RISK,training_update_applied,2026-04-20
RTR-JNY-00114-mid,JNY-00114,CUS-00114,ADV-0006,south-east-london,mid_journey,64,DRIFTING,in_person_48h,2025-10-12
RTR-JNY-00114-end,JNY-00114,CUS-00114,ADV-0006,south-east-london,end_of_journey,71,DRIFTING,training_update_applied,2026-01-10
RTR-JNY-00115-mid,JNY-00115,CUS-00115,ADV-0009,south-yorkshire,mid_journey,24,AT_RISK,call_today_mh_referral,2026-01-25
RTR-JNY-00116-mid,JNY-00116,CUS-00116,ADV-0081,south-yorkshire,mid_journey,89,ON_TRACK,light_touch,2025-11-26
RTR-JNY-00116-end,JNY-00116,CUS-00116,ADV-0081,south-yorkshire,end_of_journey,95,ON_TRACK,training_update_applied,2026-02-24
RTR-JNY-00117-mid,JNY-00117,CUS-00117,ADV-0246,south-east-london,mid_journey,27,AT_RISK,call_today_mh_referral,2025-11-18
RTR-JNY-00118-mid,JNY-00118,CUS-00118,ADV-0062,south-east-london,mid_journey,28,AT_RISK,call_today_mh_referral,2025-12-23
RTR-JNY-00118-end,JNY-00118,CUS-00118,ADV-0062,south-east-london,end_of_journey,43,AT_RISK,training_update_applied,2026-03-23
RTR-JNY-00119-mid,JNY-00119,CUS-00119,ADV-0009,south-yorkshire,mid_journey,46,AT_RISK,call_today_mh_referral,2025-11-20
RTR-JNY-00119-end,JNY-00119,CUS-00119,ADV-0009,south-yorkshire,end_of_journey,66,DRIFTING,training_update_applied,2026-02-18
RTR-JNY-00120-mid,JNY-00120,CUS-00120,ADV-0159,south-yorkshire,mid_journey,14,AT_RISK,call_today_mh_referral,2026-02-27
RTR-JNY-00121-mid,JNY-00121,CUS-00121,ADV-0055,wales,mid_journey,32,AT_RISK,call_today_mh_referral,2026-02-04
RTR-JNY-00122-mid,JNY-00122,CUS-00122,ADV-0154,north-london,mid_journey,14,AT_RISK,call_today_mh_referral,2025-11-22
RTR-JNY-00123-mid,JNY-00123,CUS-00123,ADV-0171,south-yorkshire,mid_journey,17,AT_RISK,call_today_mh_referral,2026-05-05
RTR-JNY-00124-mid,JNY-00124,CUS-00124,ADV-0232,south-east-london,mid_journey,10,AT_RISK,call_today_mh_referral,2026-05-03
RTR-JNY-00124-end,JNY-00124,CUS-00124,ADV-0232,south-east-london,end_of_journey,32,AT_RISK,training_update_applied,2026-08-01
RTR-JNY-00125-mid,JNY-00125,CUS-00125,ADV-0109,wales,mid_journey,25,AT_RISK,call_today_mh_referral,2026-03-13
RTR-JNY-00125-end,JNY-00125,CUS-00125,ADV-0109,wales,end_of_journey,42,AT_RISK,training_update_applied,2026-06-11
RTR-JNY-00126-mid,JNY-00126,CUS-00126,ADV-0097,north-london,mid_journey,26,AT_RISK,call_today_mh_referral,2026-03-05
RTR-JNY-00126-end,JNY-00126,CUS-00126,ADV-0097,north-london,end_of_journey,41,AT_RISK,training_update_applied,2026-06-03
RTR-JNY-00127-mid,JNY-00127,CUS-00127,ADV-0220,south-yorkshire,mid_journey,97,ON_TRACK,light_touch,2026-05-23
